episode,train_reward,win,roll_mean,roll_std,roll_win
1,0.0,0,,,
2,-1.0,0,,,
3,10.0,0,,,
4,-2.0,0,,,
5,4.0,0,,,
6,-1.0,0,,,
7,-2.0,0,,,
8,1.0,0,,,
9,-2.0,0,,,
10,-1.0,0,,,
11,-1.0,0,,,
12,4.0,0,,,
13,-3.0,0,,,
14,5.0,0,,,
15,1.0,0,,,
16,-3.0,0,,,
17,2.0,0,,,
18,-3.0,0,,,
19,-3.0,0,,,
20,-3.0,0,,,
21,-1.0,0,,,
22,2.0,0,,,
23,-2.0,0,,,
24,-1.0,0,,,
25,-1.0,0,,,
26,2.0,0,,,
27,-1.0,0,,,
28,4.0,0,,,
29,4.0,0,,,
30,-2.0,0,,,
31,0.0,0,,,
32,-1.0,0,,,
33,-1.0,0,,,
34,-2.0,0,,,
35,0.0,0,,,
36,-1.0,0,,,
37,-3.0,0,,,
38,-2.0,0,,,
39,-1.0,0,,,
40,0.0,0,,,
41,-2.0,0,,,
42,-2.0,0,,,
43,-1.0,0,,,
44,-2.0,0,,,
45,0.0,0,,,
46,-2.0,0,,,
47,0.0,0,,,
48,0.0,0,,,
49,-1.0,0,,,
50,3.0,0,,,
51,-3.0,0,,,
52,8.0,0,,,
53,0.0,0,,,
54,-1.0,0,,,
55,0.0,0,,,
56,-1.0,0,,,
57,-2.0,0,,,
58,-2.0,0,,,
59,-1.0,0,,,
60,-1.0,0,,,
61,-2.0,0,,,
62,-2.0,0,,,
63,-1.0,0,,,
64,-2.0,0,,,
65,0.0,0,,,
66,1.0,0,,,
67,-3.0,0,,,
68,1.0,0,,,
69,2.0,0,,,
70,-3.0,0,,,
71,1.0,0,,,
72,-3.0,0,,,
73,-3.0,0,,,
74,-3.0,0,,,
75,3.0,0,,,
76,-2.0,0,,,
77,-3.0,0,,,
78,2.0,0,,,
79,-3.0,0,,,
80,0.0,0,,,
81,-2.0,0,,,
82,-2.0,0,,,
83,-3.0,0,,,
84,-2.0,0,,,
85,-1.0,0,,,
86,1.0,0,,,
87,1.0,0,,,
88,1.0,0,,,
89,-3.0,0,,,
90,5.0,0,,,
91,-3.0,0,,,
92,2.0,0,,,
93,-1.0,0,,,
94,2.0,0,,,
95,2.0,0,,,
96,-1.0,0,,,
97,0.0,0,,,
98,-2.0,0,,,
99,-2.0,0,,,
100,0.0,0,,,
101,-1.0,0,,,
102,-2.0,0,,,
103,-1.0,0,,,
104,4.0,0,,,
105,-1.0,0,,,
106,2.0,0,,,
107,-2.0,0,,,
108,0.0,0,,,
109,-1.0,0,,,
110,-2.0,0,,,
111,-1.0,0,,,
112,-2.0,0,,,
113,-3.0,0,,,
114,4.0,0,,,
115,-3.0,0,,,
116,-1.0,0,,,
117,-2.0,0,,,
118,0.0,0,,,
119,0.0,0,,,
120,-2.0,0,,,
121,1.0,0,,,
122,0.0,0,,,
123,1.0,0,,,
124,-2.0,0,,,
125,-1.0,0,,,
126,0.0,0,,,
127,1.0,0,,,
128,-1.0,0,,,
129,-2.0,0,,,
130,2.0,0,,,
131,-2.0,0,,,
132,-2.0,0,,,
133,-3.0,0,,,
134,-2.0,0,,,
135,-1.0,0,,,
136,2.0,0,,,
137,0.0,0,,,
138,4.0,0,,,
139,1.0,0,,,
140,-2.0,0,,,
141,-3.0,0,,,
142,-3.0,0,,,
143,1.0,0,,,
144,-1.0,0,,,
145,-2.0,0,,,
146,6.0,0,,,
147,0.0,0,,,
148,-3.0,0,,,
149,-1.0,0,,,
150,-2.0,0,,,
151,-1.0,0,,,
152,2.0,0,,,
153,0.0,0,,,
154,-1.0,0,,,
155,-2.0,0,,,
156,4.0,0,,,
157,-1.0,0,,,
158,-1.0,0,,,
159,-1.0,0,,,
160,0.0,0,,,
161,0.0,0,,,
162,-2.0,0,,,
163,-1.0,0,,,
164,0.0,0,,,
165,-2.0,0,,,
166,-1.0,0,,,
167,-2.0,0,,,
168,6.0,0,,,
169,-1.0,0,,,
170,-3.0,0,,,
171,-3.0,0,,,
172,-1.0,0,,,
173,-1.0,0,,,
174,-1.0,0,,,
175,1.0,0,,,
176,0.0,0,,,
177,0.0,0,,,
178,3.0,0,,,
179,-1.0,0,,,
180,-3.0,0,,,
181,-2.0,0,,,
182,-2.0,0,,,
183,-2.0,0,,,
184,-1.0,0,,,
185,-2.0,0,,,
186,-3.0,0,,,
187,-2.0,0,,,
188,-3.0,0,,,
189,-3.0,0,,,
190,0.0,0,,,
191,0.0,0,,,
192,-2.0,0,,,
193,-2.0,0,,,
194,-2.0,0,,,
195,-1.0,0,,,
196,-2.0,0,,,
197,-1.0,0,,,
198,3.0,0,,,
199,1.0,0,,,
200,-1.0,0,,,
201,-3.0,0,,,
202,-1.0,0,,,
203,2.0,0,,,
204,-2.0,0,,,
205,0.0,0,,,
206,-2.0,0,,,
207,2.0,0,,,
208,1.0,0,,,
209,-2.0,0,,,
210,-1.0,0,,,
211,-2.0,0,,,
212,-3.0,0,,,
213,2.0,0,,,
214,-2.0,0,,,
215,2.0,0,,,
216,-2.0,0,,,
217,-2.0,0,,,
218,0.0,0,,,
219,0.0,0,,,
220,-2.0,0,,,
221,-3.0,0,,,
222,-2.0,0,,,
223,-2.0,0,,,
224,1.0,0,,,
225,2.0,0,,,
226,-1.0,0,,,
227,0.0,0,,,
228,-1.0,0,,,
229,1.0,0,,,
230,-3.0,0,,,
231,-3.0,0,,,
232,0.0,0,,,
233,-2.0,0,,,
234,1.0,0,,,
235,-1.0,0,,,
236,2.0,0,,,
237,-2.0,0,,,
238,3.0,0,,,
239,0.0,0,,,
240,-3.0,0,,,
241,-2.0,0,,,
242,2.0,0,,,
243,0.0,0,,,
244,0.0,0,,,
245,-2.0,0,,,
246,0.0,0,,,
247,-1.0,0,,,
248,-1.0,0,,,
249,-2.0,0,,,
250,4.0,0,,,
251,-2.0,0,,,
252,-3.0,0,,,
253,-3.0,0,,,
254,-2.0,0,,,
255,1.0,0,,,
256,-3.0,0,,,
257,-1.0,0,,,
258,-2.0,0,,,
259,-2.0,0,,,
260,-1.0,0,,,
261,-2.0,0,,,
262,-2.0,0,,,
263,-2.0,0,,,
264,0.0,0,,,
265,-1.0,0,,,
266,-3.0,0,,,
267,2.0,0,,,
268,3.0,0,,,
269,3.0,0,,,
270,0.0,0,,,
271,-1.0,0,,,
272,-1.0,0,,,
273,-3.0,0,,,
274,-2.0,0,,,
275,2.0,0,,,
276,-3.0,0,,,
277,3.0,0,,,
278,-1.0,0,,,
279,-1.0,0,,,
280,-3.0,0,,,
281,0.0,0,,,
282,5.0,0,,,
283,-3.0,0,,,
284,-2.0,0,,,
285,-2.0,0,,,
286,-3.0,0,,,
287,-2.0,0,,,
288,-2.0,0,,,
289,1.0,0,,,
290,-3.0,0,,,
291,-1.0,0,,,
292,-2.0,0,,,
293,7.0,0,,,
294,1.0,0,,,
295,-3.0,0,,,
296,-2.0,0,,,
297,-2.0,0,,,
298,1.0,0,,,
299,3.0,0,,,
300,-2.0,0,,,
301,-2.0,0,,,
302,0.0,0,,,
303,1.0,0,,,
304,1.0,0,,,
305,0.0,0,,,
306,3.0,0,,,
307,0.0,0,,,
308,4.0,0,,,
309,-3.0,0,,,
310,-3.0,0,,,
311,1.0,0,,,
312,0.0,0,,,
313,1.0,0,,,
314,-1.0,0,,,
315,-3.0,0,,,
316,1.0,0,,,
317,-1.0,0,,,
318,0.0,0,,,
319,-2.0,0,,,
320,0.0,0,,,
321,-1.0,0,,,
322,0.0,0,,,
323,-3.0,0,,,
324,-2.0,0,,,
325,0.0,0,,,
326,-1.0,0,,,
327,-3.0,0,,,
328,-2.0,0,,,
329,-1.0,0,,,
330,1.0,0,,,
331,3.0,0,,,
332,0.0,0,,,
333,-2.0,0,,,
334,-1.0,0,,,
335,-3.0,0,,,
336,-2.0,0,,,
337,-3.0,0,,,
338,1.0,0,,,
339,-3.0,0,,,
340,-1.0,0,,,
341,3.0,0,,,
342,-2.0,0,,,
343,2.0,0,,,
344,-3.0,0,,,
345,-1.0,0,,,
346,5.0,0,,,
347,-2.0,0,,,
348,-3.0,0,,,
349,5.0,0,,,
350,-3.0,0,,,
351,-1.0,0,,,
352,-3.0,0,,,
353,-3.0,0,,,
354,0.0,0,,,
355,-2.0,0,,,
356,7.0,0,,,
357,0.0,0,,,
358,-1.0,0,,,
