/var/spool/slurmd.spool/job21640462/slurm_script: line 13: /storage/homefs/bj20p045/.bashers: No such file or directory
Using device for env: cuda
Episode  1000 | Reward  -3.00 | ε 0.9048
Episode  2000 | Reward   1.00 | ε 0.8187
Episode  3000 | Reward  -1.00 | ε 0.7408
Episode  4000 | Reward   3.00 | ε 0.6703
Episode  5000 | Reward  -1.00 | ε 0.6065
Episode  6000 | Reward  -2.00 | ε 0.5488
Episode  7000 | Reward   0.00 | ε 0.4966
Episode  8000 | Reward   7.00 | ε 0.4493
Episode  9000 | Reward   3.00 | ε 0.4066
Episode 10000 | Reward  -2.00 | ε 0.3679
Episode 11000 | Reward   4.00 | ε 0.3329
Episode 12000 | Reward   3.00 | ε 0.3012
Episode 13000 | Reward   0.00 | ε 0.2725
Episode 14000 | Reward   1.00 | ε 0.2466
Episode 15000 | Reward   4.00 | ε 0.2231
Episode 16000 | Reward  -1.00 | ε 0.2019
Episode 17000 | Reward  -1.00 | ε 0.1827
Episode 18000 | Reward  13.00 | ε 0.1653
Episode 19000 | Reward   2.00 | ε 0.1496
Episode 20000 | Reward   6.00 | ε 0.1353
Episode 21000 | Reward   7.00 | ε 0.1224
Episode 22000 | Reward  11.00 | ε 0.1108
Episode 23000 | Reward  11.00 | ε 0.1002
Episode 24000 | Reward  17.00 | ε 0.0907
Episode 25000 | Reward   4.00 | ε 0.0821
Episode 26000 | Reward  18.00 | ε 0.0743
Episode 27000 | Reward  -2.00 | ε 0.0672
Episode 28000 | Reward  12.00 | ε 0.0608
Episode 29000 | Reward  17.00 | ε 0.0550
Episode 30000 | Reward  22.00 | ε 0.0498
Episode 31000 | Reward  45.00 | ε 0.0450
Episode 32000 | Reward  45.00 | ε 0.0408
Episode 33000 | Reward   4.00 | ε 0.0369
Episode 34000 | Reward  45.00 | ε 0.0334
Episode 35000 | Reward  17.00 | ε 0.0302
Episode 36000 | Reward   0.00 | ε 0.0273
Episode 37000 | Reward  45.00 | ε 0.0247
Episode 38000 | Reward  45.00 | ε 0.0224
Episode 39000 | Reward  45.00 | ε 0.0202
Episode 40000 | Reward  16.00 | ε 0.0183
Episode 41000 | Reward  21.00 | ε 0.0166
Episode 42000 | Reward  45.00 | ε 0.0150
Episode 43000 | Reward  45.00 | ε 0.0136
Episode 44000 | Reward  45.00 | ε 0.0123
Episode 45000 | Reward  45.00 | ε 0.0111
Episode 46000 | Reward  45.00 | ε 0.0100
Episode 47000 | Reward  45.00 | ε 0.0100
Episode 48000 | Reward  14.00 | ε 0.0100
Episode 49000 | Reward  45.00 | ε 0.0100
Episode 50000 | Reward  45.00 | ε 0.0100

Training completed in 183.1 minutes.
Saved training data to qlearning_minesweeper_results.csv
Saved Q-table to q_table.pkl
