episode,train_reward,win,roll_mean,roll_std,roll_win
1,-2.0,0,,,
2,-2.0,0,,,
3,-2.0,0,,,
4,0.0,0,,,
5,1.0,0,,,
6,-2.0,0,,,
7,-1.0,0,,,
8,-2.0,0,,,
9,-2.0,0,,,
10,-1.0,0,,,
11,-1.0,0,,,
12,0.0,0,,,
13,-2.0,0,,,
14,2.0,0,,,
15,-2.0,0,,,
16,1.0,0,,,
17,4.0,0,,,
18,-2.0,0,,,
19,0.0,0,,,
20,-2.0,0,,,
21,0.0,0,,,
22,3.0,0,,,
23,2.0,0,,,
24,-2.0,0,,,
25,2.0,0,,,
26,-2.0,0,,,
27,1.0,0,,,
28,1.0,0,,,
29,-2.0,0,,,
30,2.0,0,,,
31,0.0,0,,,
32,-2.0,0,,,
33,-1.0,0,,,
34,-1.0,0,,,
35,-1.0,0,,,
36,-2.0,0,,,
37,-2.0,0,,,
38,-2.0,0,,,
39,-1.0,0,,,
40,-1.0,0,,,
41,-2.0,0,,,
42,-1.0,0,,,
43,-1.0,0,,,
44,0.0,0,,,
45,-2.0,0,,,
46,-2.0,0,,,
47,-2.0,0,,,
48,-1.0,0,,,
49,-1.0,0,,,
50,3.0,0,,,
51,-2.0,0,,,
52,-1.0,0,,,
53,-2.0,0,,,
54,-2.0,0,,,
55,2.0,0,,,
56,-2.0,0,,,
57,-2.0,0,,,
58,-2.0,0,,,
59,-2.0,0,,,
60,-2.0,0,,,
61,-2.0,0,,,
62,0.0,0,,,
63,-1.0,0,,,
64,0.0,0,,,
65,-2.0,0,,,
66,0.0,0,,,
67,-2.0,0,,,
68,-2.0,0,,,
69,-2.0,0,,,
70,0.0,0,,,
71,-2.0,0,,,
72,1.0,0,,,
73,-2.0,0,,,
74,-2.0,0,,,
75,-2.0,0,,,
76,-2.0,0,,,
77,-1.0,0,,,
78,-2.0,0,,,
79,3.0,0,,,
80,-2.0,0,,,
81,-2.0,0,,,
82,0.0,0,,,
83,1.0,0,,,
84,-1.0,0,,,
85,-2.0,0,,,
86,2.0,0,,,
87,0.0,0,,,
88,-2.0,0,,,
89,3.0,0,,,
90,0.0,0,,,
91,-2.0,0,,,
92,-2.0,0,,,
93,1.0,0,,,
94,-1.0,0,,,
95,0.0,0,,,
96,0.0,0,,,
97,-2.0,0,,,
98,-2.0,0,,,
99,-2.0,0,,,
100,-1.0,0,,,
101,-2.0,0,,,
102,-1.0,0,,,
103,-2.0,0,,,
104,0.0,0,,,
105,-1.0,0,,,
106,-1.0,0,,,
107,-1.0,0,,,
108,-2.0,0,,,
109,-1.0,0,,,
110,-2.0,0,,,
111,-2.0,0,,,
112,-1.0,0,,,
113,-2.0,0,,,
114,-2.0,0,,,
115,0.0,0,,,
116,5.0,0,,,
117,2.0,0,,,
118,0.0,0,,,
119,2.0,0,,,
120,-2.0,0,,,
121,2.0,0,,,
122,-1.0,0,,,
123,-2.0,0,,,
124,-2.0,0,,,
125,0.0,0,,,
126,-2.0,0,,,
127,-2.0,0,,,
128,-2.0,0,,,
129,-1.0,0,,,
130,1.0,0,,,
131,3.0,0,,,
132,-1.0,0,,,
133,-1.0,0,,,
134,3.0,0,,,
135,-2.0,0,,,
136,0.0,0,,,
137,-2.0,0,,,
138,0.0,0,,,
139,-2.0,0,,,
140,2.0,0,,,
141,1.0,0,,,
142,0.0,0,,,
143,0.0,0,,,
144,-2.0,0,,,
145,4.0,0,,,
146,3.0,0,,,
147,-2.0,0,,,
148,-2.0,0,,,
149,1.0,0,,,
150,2.0,0,,,
151,1.0,0,,,
152,-1.0,0,,,
153,-2.0,0,,,
154,-1.0,0,,,
155,-2.0,0,,,
156,2.0,0,,,
157,-2.0,0,,,
158,-2.0,0,,,
159,-1.0,0,,,
160,-1.0,0,,,
161,-2.0,0,,,
162,3.0,0,,,
163,-2.0,0,,,
164,1.0,0,,,
165,3.0,0,,,
166,2.0,0,,,
167,-1.0,0,,,
168,-2.0,0,,,
169,-2.0,0,,,
170,-1.0,0,,,
171,1.0,0,,,
172,2.0,0,,,
173,-2.0,0,,,
174,-1.0,0,,,
175,-2.0,0,,,
176,-2.0,0,,,
177,-1.0,0,,,
178,-2.0,0,,,
179,-2.0,0,,,
180,-1.0,0,,,
181,-2.0,0,,,
182,-2.0,0,,,
183,-1.0,0,,,
184,0.0,0,,,
185,-1.0,0,,,
186,-1.0,0,,,
187,-2.0,0,,,
188,-1.0,0,,,
189,-2.0,0,,,
190,0.0,0,,,
191,-2.0,0,,,
192,-1.0,0,,,
193,-1.0,0,,,
194,-2.0,0,,,
195,-2.0,0,,,
196,2.0,0,,,
197,-2.0,0,,,
198,-1.0,0,,,
199,-2.0,0,,,
200,-1.0,0,,,
201,-2.0,0,,,
202,1.0,0,,,
203,-2.0,0,,,
204,0.0,0,,,
205,-1.0,0,,,
206,-1.0,0,,,
207,17.0,1,,,
208,-2.0,0,,,
209,-2.0,0,,,
210,-2.0,0,,,
211,1.0,0,,,
212,-1.0,0,,,
213,0.0,0,,,
