"Step","DDQN_run_1747573335 - total_reward","DDQN_run_1747573335 - total_reward__MIN","DDQN_run_1747573335 - total_reward__MAX"
"0","-3","-3","-3"
"2","-2","-2","-2"
"5","-2","-2","-2"
"9","-1","-1","-1"
"13","-3","-3","-3"
"14","-2","-2","-2"
"28","-3","-3","-3"
"33","-3","-3","-3"
"39","6","6","6"
"46","-2","-2","-2"
"49","-2","-2","-2"
"53","-1","-1","-1"
"64","-1","-1","-1"
"65","1","1","1"
"73","-3","-3","-3"
"74","0","0","0"
"78","0","0","0"
"83","-2","-2","-2"
"93","1","1","1"
"97","-1","-1","-1"
"111","-2","-2","-2"
"119","-3","-3","-3"
"123","-2","-2","-2"
"125","5","5","5"
"127","-2","-2","-2"
"129","-3","-3","-3"
"131","3","3","3"
"134","-2","-2","-2"
"140","3","3","3"
"141","-2","-2","-2"
"143","-2","-2","-2"
"149","-2","-2","-2"
"157","0","0","0"
"159","0","0","0"
"166","-3","-3","-3"
"171","2","2","2"
"179","4","4","4"
"181","-1","-1","-1"
"193","5","5","5"
"198","1","1","1"
"203","0","0","0"
"219","-1","-1","-1"
"227","6","6","6"
"229","-2","-2","-2"
"231","0","0","0"
"241","-1","-1","-1"
"246","3","3","3"
"249","-1","-1","-1"
"257","-1","-1","-1"
"260","1","1","1"
"265","-1","-1","-1"
"276","2","2","2"
"283","-3","-3","-3"
"292","0","0","0"
"304","0","0","0"
"307","0","0","0"
"311","1","1","1"
"314","-3","-3","-3"
"321","2","2","2"
"323","3","3","3"
"336","4","4","4"
"338","-3","-3","-3"
"339","2","2","2"
"342","-1","-1","-1"
"343","-2","-2","-2"
"352","0","0","0"
"359","3","3","3"
"366","-3","-3","-3"
"370","-2","-2","-2"
"372","5","5","5"
"375","0","0","0"
"381","-2","-2","-2"
"383","-2","-2","-2"
"384","-2","-2","-2"
"387","-1","-1","-1"
"388","2","2","2"
"401","0","0","0"
"402","0","0","0"
"403","0","0","0"
"408","-2","-2","-2"
"409","-3","-3","-3"
"411","1","1","1"
"417","2","2","2"
"430","0","0","0"
"433","2","2","2"
"437","-1","-1","-1"
"448","3","3","3"
"455","-3","-3","-3"
"456","0","0","0"
"466","-3","-3","-3"
"475","-1","-1","-1"
"476","0","0","0"
"477","0","0","0"
"479","-2","-2","-2"
"488","-2","-2","-2"
"491","0","0","0"
"492","-2","-2","-2"
"495","-1","-1","-1"
"500","-1","-1","-1"
"505","0","0","0"
"506","2","2","2"
"508","-1","-1","-1"
"512","2","2","2"
"526","-1","-1","-1"
"528","-1","-1","-1"
"534","-1","-1","-1"
"542","0","0","0"
"546","-3","-3","-3"
"549","-1","-1","-1"
"550","3","3","3"
"556","-3","-3","-3"
"574","-2","-2","-2"
"576","-2","-2","-2"
"589","0","0","0"
"596","-1","-1","-1"
"600","-3","-3","-3"
"604","-2","-2","-2"
"605","4","4","4"
"606","-3","-3","-3"
"610","1","1","1"
"617","-1","-1","-1"
"619","5","5","5"
"621","7","7","7"
"628","2","2","2"
"630","-3","-3","-3"
"631","-2","-2","-2"
"632","0","0","0"
"642","-3","-3","-3"
"654","1","1","1"
"656","1","1","1"
"663","0","0","0"
"664","-2","-2","-2"
"666","0","0","0"
"667","-1","-1","-1"
"669","2","2","2"
"677","-3","-3","-3"
"679","6","6","6"
"683","2","2","2"
"690","0","0","0"
"692","5","5","5"
"703","-1","-1","-1"
"705","0","0","0"
"709","3","3","3"
"712","0","0","0"
"715","4","4","4"
"721","-2","-2","-2"
"723","1","1","1"
