"Step","DDQN_run_1747573335 - win","DDQN_run_1747573335 - win__MIN","DDQN_run_1747573335 - win__MAX"
"2","0","0","0"
"3","0","0","0"
"11","0","0","0"
"27","0","0","0"
"31","0","0","0"
"42","0","0","0"
"52","0","0","0"
"55","0","0","0"
"57","0","0","0"
"64","0","0","0"
"65","0","0","0"
"68","0","0","0"
"71","0","0","0"
"73","0","0","0"
"80","0","0","0"
"82","0","0","0"
"84","0","0","0"
"86","0","0","0"
"89","0","0","0"
"96","0","0","0"
"101","0","0","0"
"103","0","0","0"
"112","0","0","0"
"118","0","0","0"
"120","0","0","0"
"130","0","0","0"
"152","0","0","0"
"174","0","0","0"
"178","0","0","0"
"189","0","0","0"
"195","0","0","0"
"196","0","0","0"
"198","0","0","0"
"200","0","0","0"
"207","0","0","0"
"212","0","0","0"
"216","0","0","0"
"218","0","0","0"
"220","0","0","0"
"227","0","0","0"
"236","0","0","0"
"244","0","0","0"
"245","0","0","0"
"258","0","0","0"
"260","0","0","0"
"263","0","0","0"
"264","0","0","0"
"270","0","0","0"
"286","0","0","0"
"290","0","0","0"
"291","0","0","0"
"297","0","0","0"
"299","0","0","0"
"300","0","0","0"
"308","0","0","0"
"309","0","0","0"
"315","0","0","0"
"324","0","0","0"
"328","0","0","0"
"329","0","0","0"
"330","0","0","0"
"332","0","0","0"
"335","0","0","0"
"340","0","0","0"
"342","0","0","0"
"347","0","0","0"
"352","0","0","0"
"359","0","0","0"
"366","0","0","0"
"374","0","0","0"
"381","0","0","0"
"386","0","0","0"
"387","0","0","0"
"390","0","0","0"
"391","0","0","0"
"395","0","0","0"
"401","0","0","0"
"410","0","0","0"
"411","0","0","0"
"418","0","0","0"
"426","0","0","0"
"431","0","0","0"
"436","0","0","0"
"445","0","0","0"
"446","0","0","0"
"451","0","0","0"
"466","0","0","0"
"471","0","0","0"
"474","0","0","0"
"485","0","0","0"
"487","0","0","0"
"491","0","0","0"
"501","0","0","0"
"505","0","0","0"
"506","0","0","0"
"508","0","0","0"
"510","0","0","0"
"513","0","0","0"
"522","0","0","0"
"525","0","0","0"
"536","0","0","0"
"537","0","0","0"
"542","0","0","0"
"546","0","0","0"
"548","0","0","0"
"552","0","0","0"
"555","0","0","0"
"556","0","0","0"
"561","0","0","0"
"562","0","0","0"
"566","0","0","0"
"569","0","0","0"
"570","0","0","0"
"572","0","0","0"
"574","0","0","0"
"575","0","0","0"
"580","0","0","0"
"584","0","0","0"
"590","0","0","0"
"593","0","0","0"
"598","0","0","0"
"599","0","0","0"
"612","0","0","0"
"616","0","0","0"
"621","0","0","0"
"624","0","0","0"
"626","0","0","0"
"628","0","0","0"
"635","0","0","0"
"640","0","0","0"
"642","0","0","0"
"646","0","0","0"
"651","0","0","0"
"653","0","0","0"
"658","0","0","0"
"659","0","0","0"
"660","0","0","0"
"665","0","0","0"
"671","0","0","0"
"680","0","0","0"
"681","0","0","0"
"690","0","0","0"
"691","0","0","0"
"695","0","0","0"
"696","0","0","0"
"697","0","0","0"
"700","0","0","0"
"705","0","0","0"
"706","0","0","0"
"707","0","0","0"
"714","0","0","0"
"720","0","0","0"
"721","0","0","0"
"722","0","0","0"
"726","0","0","0"
"734","0","0","0"
"737","0","0","0"
"738","0","0","0"
"756","0","0","0"
"758","0","0","0"
"764","0","0","0"
"783","0","0","0"
"786","0","0","0"
"787","0","0","0"
"791","0","0","0"
"798","0","0","0"
"801","0","0","0"
"804","0","0","0"
"808","0","0","0"
"816","0","0","0"
"823","0","0","0"
"827","0","0","0"
"828","0","0","0"
"849","0","0","0"
"857","0","0","0"
"860","0","0","0"
"861","0","0","0"
"864","0","0","0"
"867","0","0","0"
"872","0","0","0"
"878","0","0","0"
"888","0","0","0"
"889","0","0","0"
"891","0","0","0"
"895","0","0","0"
"896","0","0","0"
"900","0","0","0"
"904","0","0","0"
"908","0","0","0"
"909","0","0","0"
"913","0","0","0"
"914","0","0","0"
"922","0","0","0"
"938","0","0","0"
"941","0","0","0"
"950","0","0","0"
"958","0","0","0"
"960","0","0","0"
"969","0","0","0"
"972","0","0","0"
"986","0","0","0"
"993","0","0","0"
"996","0","0","0"
"1001","0","0","0"
"1007","0","0","0"
"1009","0","0","0"
"1019","0","0","0"
"1020","0","0","0"
"1024","0","0","0"
"1026","0","0","0"
"1029","0","0","0"
"1030","0","0","0"
"1032","0","0","0"
"1039","0","0","0"
"1042","0","0","0"
"1047","0","0","0"
"1052","0","0","0"
"1063","0","0","0"
"1066","0","0","0"
"1068","0","0","0"
"1072","0","0","0"
"1074","0","0","0"
"1077","0","0","0"
"1078","0","0","0"
"1084","0","0","0"
"1088","0","0","0"
"1091","0","0","0"
"1093","0","0","0"
"1095","0","0","0"
"1096","0","0","0"
"1097","0","0","0"
"1101","0","0","0"
"1103","0","0","0"
"1113","0","0","0"
"1114","0","0","0"
"1117","0","0","0"
"1126","0","0","0"
"1131","0","0","0"
"1132","0","0","0"
"1135","0","0","0"
"1142","0","0","0"
"1154","0","0","0"
"1163","0","0","0"
"1168","0","0","0"
"1171","0","0","0"
"1174","0","0","0"
"1178","0","0","0"
"1186","0","0","0"
"1187","0","0","0"
"1199","0","0","0"
"1204","0","0","0"
"1214","0","0","0"
"1217","0","0","0"
"1219","0","0","0"
"1226","0","0","0"
"1227","0","0","0"
"1236","0","0","0"
"1242","0","0","0"
"1244","0","0","0"
"1245","0","0","0"
"1246","0","0","0"
"1248","0","0","0"
"1251","0","0","0"
"1255","0","0","0"
"1256","0","0","0"
"1257","0","0","0"
"1258","0","0","0"
"1263","0","0","0"
"1268","0","0","0"
"1276","0","0","0"
"1279","0","0","0"
"1281","0","0","0"
"1286","0","0","0"
"1289","0","0","0"
"1290","0","0","0"
"1295","0","0","0"
"1297","0","0","0"
"1298","0","0","0"
"1300","0","0","0"
"1306","0","0","0"
"1313","0","0","0"
"1317","0","0","0"
"1322","0","0","0"
"1323","0","0","0"
"1326","0","0","0"
"1328","0","0","0"
"1332","0","0","0"
"1337","0","0","0"
"1341","0","0","0"
"1343","0","0","0"
"1344","0","0","0"
"1347","0","0","0"
"1348","0","0","0"
"1352","0","0","0"
"1355","0","0","0"
"1358","0","0","0"
"1359","0","0","0"
"1363","0","0","0"
"1365","0","0","0"
"1369","0","0","0"
"1372","0","0","0"
"1375","0","0","0"
"1377","0","0","0"
"1385","0","0","0"
"1394","0","0","0"
"1405","0","0","0"
"1407","0","0","0"
"1409","0","0","0"
"1416","0","0","0"
"1417","0","0","0"
"1423","0","0","0"
"1424","0","0","0"
"1429","0","0","0"
"1433","0","0","0"
"1444","0","0","0"
"1445","0","0","0"
"1453","0","0","0"
"1456","0","0","0"
"1458","0","0","0"
"1461","0","0","0"
"1462","0","0","0"
"1466","0","0","0"
"1467","0","0","0"
"1468","0","0","0"
"1478","0","0","0"
"1479","0","0","0"
"1481","0","0","0"
"1483","0","0","0"
"1484","0","0","0"
"1488","0","0","0"
"1489","0","0","0"
"1492","0","0","0"
"1496","0","0","0"
"1498","0","0","0"
"1499","0","0","0"
"1503","0","0","0"
"1536","0","0","0"
"1549","0","0","0"
"1554","0","0","0"
"1557","0","0","0"
"1560","0","0","0"
"1561","0","0","0"
"1570","0","0","0"
"1580","0","0","0"
"1585","0","0","0"
"1587","0","0","0"
"1588","0","0","0"
"1589","0","0","0"
"1590","0","0","0"
"1593","0","0","0"
"1596","0","0","0"
"1604","0","0","0"
"1609","0","0","0"
"1610","0","0","0"
"1617","0","0","0"
"1620","0","0","0"
"1625","0","0","0"
"1627","0","0","0"
"1632","0","0","0"
"1642","0","0","0"
"1643","0","0","0"
"1644","0","0","0"
"1649","0","0","0"
"1660","0","0","0"
"1665","0","0","0"
"1669","0","0","0"
"1676","0","0","0"
