"Step","DQN_run_1747564920 - total_reward","DQN_run_1747564920 - total_reward__MIN","DQN_run_1747564920 - total_reward__MAX"
"7","3","3","3"
"8","-1","-1","-1"
"9","0","0","0"
"10","2","2","2"
"19","-2","-2","-2"
"24","1","1","1"
"27","1","1","1"
"38","-1","-1","-1"
"41","-1","-1","-1"
"44","-1","-1","-1"
"60","0","0","0"
"62","-2","-2","-2"
"66","-2","-2","-2"
"68","-3","-3","-3"
"69","-2","-2","-2"
"70","0","0","0"
"72","0","0","0"
"74","-3","-3","-3"
"75","-3","-3","-3"
"79","-1","-1","-1"
"81","0","0","0"
"102","-2","-2","-2"
"110","-1","-1","-1"
"113","-1","-1","-1"
"130","1","1","1"
"142","-2","-2","-2"
"143","-3","-3","-3"
"146","-2","-2","-2"
"148","2","2","2"
"152","0","0","0"
"158","-1","-1","-1"
"160","-1","-1","-1"
"163","-1","-1","-1"
"164","-2","-2","-2"
"168","-2","-2","-2"
"178","2","2","2"
"180","-1","-1","-1"
"187","1","1","1"
"190","-2","-2","-2"
"201","-2","-2","-2"
"202","-3","-3","-3"
"214","0","0","0"
"218","-1","-1","-1"
"229","-3","-3","-3"
"230","0","0","0"
"237","0","0","0"
"238","-2","-2","-2"
"241","0","0","0"
"248","-2","-2","-2"
"252","4","4","4"
"259","-3","-3","-3"
"261","-1","-1","-1"
"267","-1","-1","-1"
"276","1","1","1"
"277","1","1","1"
"288","5","5","5"
"289","-3","-3","-3"
"290","1","1","1"
"292","-1","-1","-1"
"306","-2","-2","-2"
"319","0","0","0"
"321","-1","-1","-1"
"339","4","4","4"
"340","6","6","6"
"342","-1","-1","-1"
"346","-1","-1","-1"
"348","2","2","2"
"350","-3","-3","-3"
"351","1","1","1"
"359","-2","-2","-2"
"360","3","3","3"
"362","-2","-2","-2"
"372","-1","-1","-1"
"373","0","0","0"
"377","0","0","0"
"391","0","0","0"
"395","-1","-1","-1"
"398","-3","-3","-3"
"402","-2","-2","-2"
"407","6","6","6"
"411","-3","-3","-3"
"426","-1","-1","-1"
"427","-1","-1","-1"
"430","5","5","5"
"437","-2","-2","-2"
"439","-2","-2","-2"
"457","-3","-3","-3"
"460","1","1","1"
"468","2","2","2"
"473","-1","-1","-1"
"480","-2","-2","-2"
"493","0","0","0"
"498","-3","-3","-3"
"500","-1","-1","-1"
"506","-3","-3","-3"
"509","-2","-2","-2"
"510","-1","-1","-1"
"515","0","0","0"
"518","-1","-1","-1"
"520","1","1","1"
"524","-2","-2","-2"
"531","-1","-1","-1"
"533","1","1","1"
"534","1","1","1"
"544","0","0","0"
"546","1","1","1"
"547","-1","-1","-1"
"550","0","0","0"
"556","3","3","3"
"565","-1","-1","-1"
"568","-3","-3","-3"
"572","1","1","1"
"582","-3","-3","-3"
"600","1","1","1"
"605","8","8","8"
"608","4","4","4"
"610","-1","-1","-1"
"612","2","2","2"
"619","-2","-2","-2"
"620","2","2","2"
"626","0","0","0"
"636","-2","-2","-2"
"638","4","4","4"
"650","-1","-1","-1"
"656","1","1","1"
"657","-2","-2","-2"
"659","-3","-3","-3"
"664","2","2","2"
"677","0","0","0"
"680","-1","-1","-1"
"698","-1","-1","-1"
