"Step","DQN_run_1747564920 - win","DQN_run_1747564920 - win__MIN","DQN_run_1747564920 - win__MAX"
"3","0","0","0"
"5","0","0","0"
"12","0","0","0"
"15","0","0","0"
"27","0","0","0"
"28","0","0","0"
"32","0","0","0"
"35","0","0","0"
"39","0","0","0"
"40","0","0","0"
"60","0","0","0"
"61","0","0","0"
"67","0","0","0"
"81","0","0","0"
"82","0","0","0"
"88","0","0","0"
"90","0","0","0"
"92","0","0","0"
"102","0","0","0"
"106","0","0","0"
"111","0","0","0"
"112","0","0","0"
"113","0","0","0"
"118","0","0","0"
"119","0","0","0"
"130","0","0","0"
"134","0","0","0"
"135","0","0","0"
"136","0","0","0"
"142","0","0","0"
"150","0","0","0"
"154","0","0","0"
"170","0","0","0"
"185","0","0","0"
"187","0","0","0"
"191","0","0","0"
"192","0","0","0"
"198","0","0","0"
"200","0","0","0"
"202","0","0","0"
"204","0","0","0"
"205","0","0","0"
"215","0","0","0"
"220","0","0","0"
"229","0","0","0"
"234","0","0","0"
"235","0","0","0"
"237","0","0","0"
"245","0","0","0"
"250","0","0","0"
"252","0","0","0"
"253","0","0","0"
"257","0","0","0"
"261","0","0","0"
"263","0","0","0"
"270","0","0","0"
"272","0","0","0"
"273","0","0","0"
"274","0","0","0"
"279","0","0","0"
"281","0","0","0"
"284","0","0","0"
"288","0","0","0"
"297","0","0","0"
"300","0","0","0"
"307","0","0","0"
"308","0","0","0"
"311","0","0","0"
"314","0","0","0"
"316","0","0","0"
"320","0","0","0"
"321","0","0","0"
"323","0","0","0"
"324","0","0","0"
"342","0","0","0"
"346","0","0","0"
"352","0","0","0"
"353","0","0","0"
"359","0","0","0"
"365","0","0","0"
"367","0","0","0"
"374","0","0","0"
"379","0","0","0"
"381","0","0","0"
"385","0","0","0"
"386","0","0","0"
"398","0","0","0"
"402","0","0","0"
"405","0","0","0"
"406","0","0","0"
"413","0","0","0"
"414","0","0","0"
"416","0","0","0"
"419","0","0","0"
"422","0","0","0"
"424","0","0","0"
"427","0","0","0"
"433","0","0","0"
"435","0","0","0"
"438","0","0","0"
"440","0","0","0"
"442","0","0","0"
"446","0","0","0"
"467","0","0","0"
"471","0","0","0"
"481","0","0","0"
"487","0","0","0"
"490","0","0","0"
"491","0","0","0"
"493","0","0","0"
"494","0","0","0"
"501","0","0","0"
"502","0","0","0"
"504","0","0","0"
"505","0","0","0"
"513","0","0","0"
"515","0","0","0"
"523","0","0","0"
"540","0","0","0"
"542","0","0","0"
"556","0","0","0"
"566","0","0","0"
"593","0","0","0"
"594","0","0","0"
"595","0","0","0"
"597","0","0","0"
"605","0","0","0"
"612","0","0","0"
"620","0","0","0"
"629","0","0","0"
"636","0","0","0"
"637","0","0","0"
"642","0","0","0"
"645","0","0","0"
"653","0","0","0"
"660","0","0","0"
"661","0","0","0"
"665","0","0","0"
"669","0","0","0"
"675","0","0","0"
"679","0","0","0"
"693","0","0","0"
"699","0","0","0"
"702","0","0","0"
"706","0","0","0"
"712","0","0","0"
"717","0","0","0"
"721","0","0","0"
"729","0","0","0"
"739","0","0","0"
"740","0","0","0"
"745","0","0","0"
"753","0","0","0"
"755","0","0","0"
"767","0","0","0"
"768","0","0","0"
"770","0","0","0"
"771","0","0","0"
"783","0","0","0"
"788","0","0","0"
"790","0","0","0"
"802","0","0","0"
"818","0","0","0"
"821","0","0","0"
"827","0","0","0"
"829","0","0","0"
"831","0","0","0"
"832","0","0","0"
"835","0","0","0"
"836","0","0","0"
"841","0","0","0"
"846","0","0","0"
"848","0","0","0"
"855","0","0","0"
"870","0","0","0"
"874","0","0","0"
"879","0","0","0"
"893","0","0","0"
"911","0","0","0"
"914","0","0","0"
"920","0","0","0"
"922","0","0","0"
"926","0","0","0"
"932","0","0","0"
"936","0","0","0"
"943","0","0","0"
"944","0","0","0"
"947","0","0","0"
"949","0","0","0"
"963","0","0","0"
"967","0","0","0"
"984","0","0","0"
"987","0","0","0"
"989","0","0","0"
"991","0","0","0"
"1001","0","0","0"
"1004","0","0","0"
"1012","0","0","0"
"1022","0","0","0"
"1035","0","0","0"
"1036","0","0","0"
"1046","0","0","0"
"1052","0","0","0"
"1056","0","0","0"
"1061","0","0","0"
"1072","0","0","0"
"1081","0","0","0"
"1086","0","0","0"
"1091","0","0","0"
"1093","0","0","0"
"1095","0","0","0"
"1096","0","0","0"
"1099","0","0","0"
"1102","0","0","0"
"1103","0","0","0"
"1110","0","0","0"
"1111","0","0","0"
"1113","0","0","0"
"1115","0","0","0"
"1123","0","0","0"
"1127","0","0","0"
"1135","0","0","0"
"1139","0","0","0"
"1147","0","0","0"
"1150","0","0","0"
"1152","0","0","0"
"1155","0","0","0"
"1157","0","0","0"
"1158","0","0","0"
"1159","0","0","0"
"1167","0","0","0"
"1176","0","0","0"
"1178","0","0","0"
"1179","0","0","0"
"1185","0","0","0"
"1186","0","0","0"
"1188","0","0","0"
"1193","0","0","0"
"1194","0","0","0"
"1196","0","0","0"
"1197","0","0","0"
"1199","0","0","0"
"1202","0","0","0"
"1213","0","0","0"
"1214","0","0","0"
"1238","0","0","0"
"1248","0","0","0"
"1250","0","0","0"
"1251","0","0","0"
"1254","0","0","0"
"1261","0","0","0"
"1262","0","0","0"
"1263","0","0","0"
"1267","0","0","0"
"1272","0","0","0"
"1275","0","0","0"
"1278","0","0","0"
"1281","0","0","0"
"1289","0","0","0"
"1295","0","0","0"
"1298","0","0","0"
"1299","0","0","0"
"1300","0","0","0"
"1302","0","0","0"
"1304","0","0","0"
"1311","0","0","0"
"1314","0","0","0"
"1318","0","0","0"
"1319","0","0","0"
"1322","0","0","0"
"1326","0","0","0"
"1333","0","0","0"
"1335","0","0","0"
"1336","0","0","0"
"1345","0","0","0"
"1352","0","0","0"
"1353","0","0","0"
"1362","0","0","0"
"1364","0","0","0"
"1375","0","0","0"
"1395","0","0","0"
"1396","0","0","0"
"1397","0","0","0"
"1403","0","0","0"
"1406","0","0","0"
"1407","0","0","0"
"1409","0","0","0"
"1415","0","0","0"
"1425","0","0","0"
"1426","0","0","0"
"1431","0","0","0"
"1433","0","0","0"
"1435","0","0","0"
"1446","0","0","0"
"1448","0","0","0"
"1456","0","0","0"
"1461","0","0","0"
"1464","0","0","0"
"1465","0","0","0"
"1471","0","0","0"
"1493","0","0","0"
"1495","0","0","0"
"1504","0","0","0"
"1510","0","0","0"
"1512","0","0","0"
"1513","0","0","0"
"1527","0","0","0"
"1530","0","0","0"
"1544","0","0","0"
"1550","0","0","0"
"1553","0","0","0"
"1555","0","0","0"
"1556","0","0","0"
"1563","0","0","0"
"1574","0","0","0"
"1576","0","0","0"
"1578","0","0","0"
"1582","0","0","0"
"1584","0","0","0"
"1592","0","0","0"
"1593","0","0","0"
"1599","0","0","0"
"1600","0","0","0"
"1609","0","0","0"
"1617","0","0","0"
"1624","0","0","0"
"1630","0","0","0"
"1635","0","0","0"
"1644","0","0","0"
"1654","0","0","0"
"1655","0","0","0"
"1658","0","0","0"
"1662","0","0","0"
"1668","0","0","0"
"1672","0","0","0"
"1675","0","0","0"
"1678","0","0","0"
"1685","0","0","0"
"1689","0","0","0"
"1692","0","0","0"
"1699","0","0","0"
"1702","0","0","0"
"1710","0","0","0"
"1715","0","0","0"
"1723","0","0","0"
"1726","0","0","0"
"1727","0","0","0"
"1732","0","0","0"
"1739","0","0","0"
"1753","0","0","0"
"1756","0","0","0"
"1759","0","0","0"
"1762","0","0","0"
"1768","0","0","0"
"1774","0","0","0"
"1775","0","0","0"
"1779","0","0","0"
"1788","0","0","0"
"1789","0","0","0"
"1793","0","0","0"
"1804","0","0","0"
"1811","0","0","0"
"1812","0","0","0"
"1817","0","0","0"
"1818","0","0","0"
"1820","0","0","0"
"1821","0","0","0"
