"Step","DDQN_good_disc - total_reward","non_det_DDQN_run_1747653794 - total_reward__MIN","non_det_DDQN_run_1747653794 - total_reward__MAX"
"2","-2","-2","-2"
"3","-2","-2","-2"
"11","0","0","0"
"27","2","2","2"
"31","0","0","0"
"42","-2","-2","-2"
"52","-2","-2","-2"
"55","0","0","0"
"57","-2","-2","-2"
"64","1","1","1"
"65","21","21","21"
"68","-1","-1","-1"
"71","0","0","0"
"73","-1","-1","-1"
"80","-2","-2","-2"
"82","-2","-2","-2"
"84","3","3","3"
"86","-1","-1","-1"
"89","-1","-1","-1"
"96","-2","-2","-2"
"101","-2","-2","-2"
"103","-2","-2","-2"
"112","-1","-1","-1"
"118","-2","-2","-2"
"120","4","4","4"
"130","-2","-2","-2"
"152","-2","-2","-2"
"174","4","4","4"
"178","-2","-2","-2"
"189","1","1","1"
"195","-2","-2","-2"
"196","-2","-2","-2"
"198","-2","-2","-2"
"200","4","4","4"
"207","-1","-1","-1"
"212","1","1","1"
"216","-2","-2","-2"
"218","3","3","3"
"220","-2","-2","-2"
"227","-2","-2","-2"
"236","-2","-2","-2"
"244","-2","-2","-2"
"245","-1","-1","-1"
"258","0","0","0"
"260","-2","-2","-2"
"263","-1","-1","-1"
"264","1","1","1"
"270","0","0","0"
"286","-2","-2","-2"
"290","1","1","1"
"291","-1","-1","-1"
"297","-2","-2","-2"
"299","-2","-2","-2"
"300","4","4","4"
"308","-2","-2","-2"
"309","0","0","0"
"315","1","1","1"
"324","-2","-2","-2"
"328","1","1","1"
"329","-1","-1","-1"
"330","0","0","0"
"332","-1","-1","-1"
"335","-1","-1","-1"
"340","-2","-2","-2"
"342","-2","-2","-2"
"347","1","1","1"
"352","-2","-2","-2"
"359","-1","-1","-1"
"366","-2","-2","-2"
"374","0","0","0"
"381","-1","-1","-1"
"386","9","9","9"
"387","-1","-1","-1"
"390","-2","-2","-2"
"391","-1","-1","-1"
"395","-2","-2","-2"
"401","4","4","4"
"410","-2","-2","-2"
"411","-2","-2","-2"
"418","-2","-2","-2"
"426","7","7","7"
"431","-1","-1","-1"
"436","-2","-2","-2"
"445","3","3","3"
"446","-2","-2","-2"
"451","0","0","0"
"466","1","1","1"
"471","-1","-1","-1"
"474","-2","-2","-2"
"485","1","1","1"
"487","-1","-1","-1"
"491","0","0","0"
"501","1","1","1"
"505","-2","-2","-2"
"506","-2","-2","-2"
"508","1","1","1"
"510","0","0","0"
"513","-2","-2","-2"
"522","0","0","0"
"525","-1","-1","-1"
"536","-2","-2","-2"
"537","-1","-1","-1"
"542","-2","-2","-2"
"546","-1","-1","-1"
"548","-2","-2","-2"
"552","-1","-1","-1"
"555","1","1","1"
"556","2","2","2"
"561","-2","-2","-2"
"562","0","0","0"
"566","-2","-2","-2"
"569","-2","-2","-2"
"570","2","2","2"
"572","2","2","2"
"574","-2","-2","-2"
"575","6","6","6"
"580","-1","-1","-1"
"584","0","0","0"
"590","1","1","1"
"593","-2","-2","-2"
"598","5","5","5"
"599","0","0","0"
"612","-1","-1","-1"
"616","-1","-1","-1"
"621","0","0","0"
"624","-2","-2","-2"
"626","2","2","2"
"628","-2","-2","-2"
"635","-2","-2","-2"
"640","-1","-1","-1"
"642","-2","-2","-2"
"646","2","2","2"
"651","1","1","1"
"653","-2","-2","-2"
"658","0","0","0"
"659","-1","-1","-1"
"660","-1","-1","-1"
"665","-2","-2","-2"
"671","5","5","5"
"680","0","0","0"
"681","2","2","2"
"690","-1","-1","-1"
"691","-1","-1","-1"
"695","-2","-2","-2"
"696","-2","-2","-2"
"697","0","0","0"
"700","3","3","3"
"705","-2","-2","-2"
"706","-2","-2","-2"
"707","-2","-2","-2"
"714","-2","-2","-2"
"720","0","0","0"
"721","-2","-2","-2"
"722","2","2","2"
"726","-2","-2","-2"
"734","0","0","0"
"737","-2","-2","-2"
"738","-2","-2","-2"
"756","-2","-2","-2"
"758","-1","-1","-1"
"764","-1","-1","-1"
"783","-2","-2","-2"
"786","2","2","2"
"787","0","0","0"
"791","0","0","0"
"798","1","1","1"
"801","-1","-1","-1"
"804","0","0","0"
"808","2","2","2"
"816","-2","-2","-2"
"823","-1","-1","-1"
"827","-2","-2","-2"
"828","1","1","1"
"849","-2","-2","-2"
"857","-1","-1","-1"
"860","-2","-2","-2"
"861","0","0","0"
"864","-2","-2","-2"
"867","9","9","9"
"872","-2","-2","-2"
"878","-2","-2","-2"
"888","2","2","2"
"889","2","2","2"
"891","0","0","0"
"895","-2","-2","-2"
"896","-2","-2","-2"
"900","3","3","3"
"904","-1","-1","-1"
"908","2","2","2"
"909","-1","-1","-1"
"913","-1","-1","-1"
"914","-1","-1","-1"
"922","0","0","0"
"938","0","0","0"
"941","-2","-2","-2"
"950","-2","-2","-2"
"958","1","1","1"
"960","0","0","0"
"969","-2","-2","-2"
"972","-2","-2","-2"
"986","3","3","3"
"993","-2","-2","-2"
"996","-1","-1","-1"
"1001","-2","-2","-2"
"1007","-2","-2","-2"
"1009","0","0","0"
"1019","-2","-2","-2"
"1020","-2","-2","-2"
"1024","1","1","1"
"1026","3","3","3"
"1029","-2","-2","-2"
"1030","1","1","1"
"1032","-2","-2","-2"
"1039","-1","-1","-1"
"1042","2","2","2"
"1047","-1","-1","-1"
"1052","2","2","2"
"1063","-1","-1","-1"
"1066","1","1","1"
"1068","1","1","1"
"1072","-2","-2","-2"
"1074","-2","-2","-2"
"1077","-1","-1","-1"
"1078","3","3","3"
"1084","-2","-2","-2"
"1088","0","0","0"
"1091","2","2","2"
"1093","-1","-1","-1"
"1095","-1","-1","-1"
"1096","0","0","0"
"1097","2","2","2"
"1101","-1","-1","-1"
"1103","-1","-1","-1"
"1113","-1","-1","-1"
"1114","-2","-2","-2"
"1117","-1","-1","-1"
"1126","-1","-1","-1"
"1131","1","1","1"
"1132","6","6","6"
"1135","-2","-2","-2"
"1142","2","2","2"
"1154","-2","-2","-2"
"1163","0","0","0"
"1168","-2","-2","-2"
"1171","5","5","5"
"1174","2","2","2"
"1178","1","1","1"
"1186","-2","-2","-2"
"1187","-2","-2","-2"
"1199","-2","-2","-2"
"1204","-2","-2","-2"
"1214","4","4","4"
"1217","1","1","1"
"1219","-1","-1","-1"
"1226","-1","-1","-1"
"1227","1","1","1"
"1236","-2","-2","-2"
"1242","0","0","0"
"1244","-2","-2","-2"
"1245","-2","-2","-2"
"1246","-1","-1","-1"
"1248","-2","-2","-2"
"1251","-2","-2","-2"
"1255","-2","-2","-2"
"1256","-2","-2","-2"
"1257","-2","-2","-2"
"1258","-2","-2","-2"
"1263","-2","-2","-2"
"1268","1","1","1"
"1276","-2","-2","-2"
"1279","1","1","1"
"1281","-2","-2","-2"
"1286","2","2","2"
"1289","-2","-2","-2"
"1290","0","0","0"
"1295","-2","-2","-2"
"1297","-1","-1","-1"
"1298","-2","-2","-2"
"1300","3","3","3"
"1306","-1","-1","-1"
"1313","-2","-2","-2"
"1317","-2","-2","-2"
"1322","2","2","2"
"1323","-2","-2","-2"
"1326","-1","-1","-1"
"1328","1","1","1"
"1332","-2","-2","-2"
"1337","-2","-2","-2"
"1341","3","3","3"
"1343","-2","-2","-2"
"1344","-2","-2","-2"
"1347","-2","-2","-2"
"1348","-2","-2","-2"
"1352","-2","-2","-2"
"1355","-2","-2","-2"
"1358","-2","-2","-2"
"1359","1","1","1"
"1363","-2","-2","-2"
"1365","-2","-2","-2"
"1369","-1","-1","-1"
"1372","17","17","17"
"1375","-2","-2","-2"
"1377","-2","-2","-2"
"1385","7","7","7"
"1394","-2","-2","-2"
"1405","-1","-1","-1"
"1407","-2","-2","-2"
"1409","-2","-2","-2"
"1416","-2","-2","-2"
"1417","-2","-2","-2"
"1423","1","1","1"
"1424","-2","-2","-2"
"1429","0","0","0"
"1433","0","0","0"
"1444","0","0","0"
"1445","-1","-1","-1"
"1453","-2","-2","-2"
"1456","-2","-2","-2"
"1458","-2","-2","-2"
"1461","-1","-1","-1"
"1462","-2","-2","-2"
"1466","-1","-1","-1"
"1467","-1","-1","-1"
"1468","-2","-2","-2"
"1478","-1","-1","-1"
"1479","-1","-1","-1"
"1481","-2","-2","-2"
"1483","-2","-2","-2"
"1484","-2","-2","-2"
"1488","-2","-2","-2"
"1489","0","0","0"
"1492","-2","-2","-2"
"1496","2","2","2"
"1498","-2","-2","-2"
"1499","17","17","17"
"1503","-1","-1","-1"
"1536","0","0","0"
"1549","3","3","3"
"1554","2","2","2"
"1557","-2","-2","-2"
"1560","-2","-2","-2"
"1561","-2","-2","-2"
"1570","0","0","0"
"1580","-2","-2","-2"
"1585","-2","-2","-2"
"1587","-1","-1","-1"
"1588","-1","-1","-1"
"1589","-1","-1","-1"
"1590","-2","-2","-2"
"1593","1","1","1"
"1596","-1","-1","-1"
"1604","2","2","2"
"1609","3","3","3"
"1610","-2","-2","-2"
"1617","-2","-2","-2"
"1620","-2","-2","-2"
"1625","-2","-2","-2"
"1627","-2","-2","-2"
"1632","1","1","1"
"1642","-2","-2","-2"
"1643","1","1","1"
"1644","-2","-2","-2"
"1649","-1","-1","-1"
"1660","-2","-2","-2"
"1665","-1","-1","-1"
"1669","-2","-2","-2"
"1676","-2","-2","-2"
"1681","-2","-2","-2"
"1684","-2","-2","-2"
"1690","-2","-2","-2"
"1695","1","1","1"
"1697","1","1","1"
"1706","2","2","2"
"1708","-2","-2","-2"
"1715","-2","-2","-2"
"1723","6","6","6"
"1725","2","2","2"
"1731","-2","-2","-2"
"1734","-2","-2","-2"
"1740","0","0","0"
"1742","-2","-2","-2"
"1743","2","2","2"
"1745","0","0","0"
"1757","-2","-2","-2"
"1759","-2","-2","-2"
"1763","1","1","1"
"1764","-2","-2","-2"
"1777","1","1","1"
"1780","1","1","1"
"1794","0","0","0"
"1795","-2","-2","-2"
"1805","-1","-1","-1"
"1807","-1","-1","-1"
"1808","0","0","0"
"1815","-1","-1","-1"
"1827","-2","-2","-2"
"1833","-2","-2","-2"
"1834","-2","-2","-2"
"1835","-2","-2","-2"
"1847","0","0","0"
"1852","1","1","1"
"1857","2","2","2"
"1872","2","2","2"
"1876","2","2","2"
"1878","-2","-2","-2"
"1886","-1","-1","-1"
"1889","1","1","1"
"1896","-2","-2","-2"
"1899","-2","-2","-2"
"1901","1","1","1"
"1907","-2","-2","-2"
"1911","-2","-2","-2"
"1913","-2","-2","-2"
"1918","-2","-2","-2"
