"Step","DDQN_good_disc - win","non_det_DDQN_run_1747653794 - win__MIN","non_det_DDQN_run_1747653794 - win__MAX"
"10","0","0","0"
"11","0","0","0"
"16","0","0","0"
"22","0","0","0"
"26","0","0","0"
"29","0","0","0"
"31","0","0","0"
"32","0","0","0"
"36","0","0","0"
"41","0","0","0"
"48","0","0","0"
"49","0","0","0"
"55","0","0","0"
"58","0","0","0"
"59","0","0","0"
"61","0","0","0"
"71","0","0","0"
"72","0","0","0"
"73","0","0","0"
"76","0","0","0"
"82","0","0","0"
"89","0","0","0"
"96","0","0","0"
"98","0","0","0"
"113","0","0","0"
"124","0","0","0"
"133","0","0","0"
"135","0","0","0"
"139","0","0","0"
"141","0","0","0"
"143","0","0","0"
"149","0","0","0"
"152","0","0","0"
"161","0","0","0"
"163","0","0","0"
"167","0","0","0"
"170","0","0","0"
"182","0","0","0"
"200","0","0","0"
"202","0","0","0"
"210","0","0","0"
"213","0","0","0"
"221","0","0","0"
"226","0","0","0"
"231","0","0","0"
"241","0","0","0"
"248","0","0","0"
"253","0","0","0"
"254","0","0","0"
"257","0","0","0"
"262","0","0","0"
"271","0","0","0"
"285","0","0","0"
"287","0","0","0"
"296","0","0","0"
"299","0","0","0"
"306","0","0","0"
"314","0","0","0"
"315","0","0","0"
"322","0","0","0"
"323","0","0","0"
"327","0","0","0"
"337","0","0","0"
"345","0","0","0"
"346","0","0","0"
"352","0","0","0"
"356","0","0","0"
"361","0","0","0"
"365","0","0","0"
"377","0","0","0"
"395","0","0","0"
"409","0","0","0"
"410","0","0","0"
"412","0","0","0"
"413","0","0","0"
"417","0","0","0"
"423","0","0","0"
"429","0","0","0"
"440","0","0","0"
"442","0","0","0"
"448","0","0","0"
"454","0","0","0"
"456","0","0","0"
"465","0","0","0"
"471","0","0","0"
"475","0","0","0"
"485","0","0","0"
"488","0","0","0"
"500","0","0","0"
"501","0","0","0"
"502","0","0","0"
"507","0","0","0"
"510","0","0","0"
"519","0","0","0"
"524","0","0","0"
"526","0","0","0"
"530","0","0","0"
"534","0","0","0"
"535","0","0","0"
"548","0","0","0"
"553","0","0","0"
"557","0","0","0"
"559","0","0","0"
"563","0","0","0"
"586","0","0","0"
"588","0","0","0"
"597","0","0","0"
"599","0","0","0"
"600","0","0","0"
"601","0","0","0"
"605","0","0","0"
"608","0","0","0"
"610","0","0","0"
"612","0","0","0"
"614","0","0","0"
"615","0","0","0"
"617","0","0","0"
"618","0","0","0"
"625","0","0","0"
"633","0","0","0"
"639","0","0","0"
"642","0","0","0"
"643","0","0","0"
"648","0","0","0"
"650","0","0","0"
"651","0","0","0"
"653","0","0","0"
"655","0","0","0"
"659","0","0","0"
"671","0","0","0"
"673","0","0","0"
"675","0","0","0"
"678","0","0","0"
"679","0","0","0"
"689","0","0","0"
"693","0","0","0"
"695","0","0","0"
"699","0","0","0"
"700","0","0","0"
"703","0","0","0"
"704","0","0","0"
"706","0","0","0"
"715","0","0","0"
"721","0","0","0"
"725","0","0","0"
"732","0","0","0"
"734","0","0","0"
"738","0","0","0"
"739","0","0","0"
"740","0","0","0"
"742","0","0","0"
"743","0","0","0"
"747","0","0","0"
"752","0","0","0"
"757","0","0","0"
"763","0","0","0"
"767","0","0","0"
"773","0","0","0"
"775","0","0","0"
"777","0","0","0"
"778","0","0","0"
"781","0","0","0"
"783","0","0","0"
"788","0","0","0"
"792","0","0","0"
"798","0","0","0"
"800","0","0","0"
"805","0","0","0"
"810","0","0","0"
"811","0","0","0"
"814","0","0","0"
"825","0","0","0"
"832","0","0","0"
"837","0","0","0"
"843","0","0","0"
"846","0","0","0"
"856","0","0","0"
"857","0","0","0"
