"Step","non_det_DDQN_3_100k - total_reward","non_det_DDQN_3_100k - total_reward__MIN","non_det_DDQN_3_100k - total_reward__MAX"
"0","-2","-2","-2"
"6","3","3","3"
"9","1","1","1"
"13","2","2","2"
"15","1","1","1"
"19","-1","-1","-1"
"33","-1","-1","-1"
"39","0","0","0"
"43","-2","-2","-2"
"71","-2","-2","-2"
"78","0","0","0"
"132","0","0","0"
"165","-1","-1","-1"
"168","2","2","2"
"172","-1","-1","-1"
"193","-2","-2","-2"
"205","-2","-2","-2"
"218","-2","-2","-2"
"227","-1","-1","-1"
"233","1","1","1"
"234","3","3","3"
"238","1","1","1"
"261","-2","-2","-2"
"296","-1","-1","-1"
"310","1","1","1"
"315","-2","-2","-2"
"320","-1","-1","-1"
"321","-2","-2","-2"
"334","-2","-2","-2"
"338","-2","-2","-2"
"351","0","0","0"
"358","16","16","16"
"387","0","0","0"
"392","0","0","0"
"430","-2","-2","-2"
"432","-1","-1","-1"
"443","-1","-1","-1"
"446","-2","-2","-2"
"521","-2","-2","-2"
"522","-2","-2","-2"
"535","-2","-2","-2"
"542","-1","-1","-1"
"549","-2","-2","-2"
"564","-2","-2","-2"
"570","-2","-2","-2"
"578","-2","-2","-2"
"585","-2","-2","-2"
"596","-2","-2","-2"
"597","-1","-1","-1"
"606","-2","-2","-2"
"607","-2","-2","-2"
"621","1","1","1"
"635","3","3","3"
"647","-2","-2","-2"
"648","0","0","0"
"658","-2","-2","-2"
"664","-1","-1","-1"
"695","-2","-2","-2"
"699","2","2","2"
"702","-1","-1","-1"
"713","-1","-1","-1"
"720","-2","-2","-2"
"722","-1","-1","-1"
"741","0","0","0"
"742","-2","-2","-2"
"746","1","1","1"
"753","-2","-2","-2"
"756","2","2","2"
"765","-1","-1","-1"
"780","0","0","0"
"802","-2","-2","-2"
"810","0","0","0"
"812","-1","-1","-1"
"813","-1","-1","-1"
"814","-2","-2","-2"
"817","0","0","0"
"838","-2","-2","-2"
"850","-2","-2","-2"
"871","-1","-1","-1"
"874","0","0","0"
"886","-1","-1","-1"
"887","1","1","1"
"895","0","0","0"
"901","-2","-2","-2"
"903","3","3","3"
"907","-2","-2","-2"
"930","-2","-2","-2"
"939","-2","-2","-2"
"940","-2","-2","-2"
"951","4","4","4"
"964","0","0","0"
"989","-2","-2","-2"
"1000","-1","-1","-1"
"1002","-2","-2","-2"
"1012","2","2","2"
"1016","-1","-1","-1"
"1018","-1","-1","-1"
"1032","0","0","0"
"1034","-1","-1","-1"
"1041","-2","-2","-2"
"1043","-2","-2","-2"
"1056","-1","-1","-1"
"1079","-2","-2","-2"
"1084","-1","-1","-1"
"1087","0","0","0"
"1093","0","0","0"
"1098","-2","-2","-2"
"1102","-2","-2","-2"
"1119","-2","-2","-2"
"1130","-2","-2","-2"
"1135","-2","-2","-2"
"1142","-2","-2","-2"
"1150","-2","-2","-2"
"1154","-2","-2","-2"
"1161","-2","-2","-2"
"1173","-1","-1","-1"
"1180","-2","-2","-2"
"1188","-2","-2","-2"
"1189","-2","-2","-2"
"1194","-2","-2","-2"
"1198","-2","-2","-2"
"1201","1","1","1"
"1202","-2","-2","-2"
"1219","-2","-2","-2"
"1242","-1","-1","-1"
"1249","0","0","0"
"1263","-2","-2","-2"
"1268","2","2","2"
"1272","2","2","2"
"1319","1","1","1"
"1323","-1","-1","-1"
"1324","-2","-2","-2"
"1337","-2","-2","-2"
"1370","1","1","1"
"1376","-2","-2","-2"
"1381","6","6","6"
"1382","-1","-1","-1"
"1389","-2","-2","-2"
"1420","-1","-1","-1"
"1437","-2","-2","-2"
"1463","1","1","1"
"1472","-2","-2","-2"
"1473","-1","-1","-1"
"1484","-2","-2","-2"
"1492","-1","-1","-1"
"1499","-2","-2","-2"
"1507","-1","-1","-1"
"1519","-2","-2","-2"
"1520","-2","-2","-2"
"1521","-2","-2","-2"
"1524","1","1","1"
"1527","-1","-1","-1"
"1531","2","2","2"
"1541","-2","-2","-2"
"1549","0","0","0"
"1559","-2","-2","-2"
"1585","-1","-1","-1"
"1610","-2","-2","-2"
"1613","5","5","5"
"1615","-2","-2","-2"
"1616","-2","-2","-2"
"1620","-2","-2","-2"
"1628","-2","-2","-2"
"1639","-1","-1","-1"
"1646","-1","-1","-1"
"1649","-2","-2","-2"
"1660","1","1","1"
"1667","2","2","2"
"1684","-2","-2","-2"
"1689","3","3","3"
"1691","1","1","1"
"1708","-2","-2","-2"
"1718","-2","-2","-2"
"1738","0","0","0"
"1744","-2","-2","-2"
"1763","-1","-1","-1"
"1769","0","0","0"
"1772","0","0","0"
"1820","-2","-2","-2"
"1833","-2","-2","-2"
"1860","1","1","1"
"1878","-2","-2","-2"
"1881","-2","-2","-2"
"1892","1","1","1"
"1907","-2","-2","-2"
"1915","-2","-2","-2"
"1918","1","1","1"
"1923","1","1","1"
"1968","4","4","4"
"1971","-1","-1","-1"
"1977","-1","-1","-1"
"1987","-2","-2","-2"
"1998","-2","-2","-2"
"2007","-1","-1","-1"
"2024","-1","-1","-1"
"2050","-2","-2","-2"
"2061","-2","-2","-2"
"2062","-1","-1","-1"
"2084","-2","-2","-2"
"2091","1","1","1"
"2092","-1","-1","-1"
"2144","1","1","1"
"2154","1","1","1"
"2166","-2","-2","-2"
"2178","2","2","2"
"2191","-2","-2","-2"
"2206","-1","-1","-1"
"2208","-2","-2","-2"
"2209","-2","-2","-2"
"2216","-2","-2","-2"
"2223","-1","-1","-1"
"2242","-2","-2","-2"
"2244","-1","-1","-1"
"2246","-2","-2","-2"
"2254","4","4","4"
