"Step","non_det_DDQN_3_100k - win","non_det_DDQN_3_100k - win__MIN","non_det_DDQN_3_100k - win__MAX"
"1","0","0","0"
"12","0","0","0"
"13","0","0","0"
"35","0","0","0"
"40","0","0","0"
"45","0","0","0"
"78","0","0","0"
"85","0","0","0"
"101","0","0","0"
"117","0","0","0"
"120","0","0","0"
"126","0","0","0"
"130","0","0","0"
"133","0","0","0"
"141","0","0","0"
"151","0","0","0"
"164","0","0","0"
"172","0","0","0"
"176","0","0","0"
"185","0","0","0"
"190","0","0","0"
"196","0","0","0"
"199","0","0","0"
"202","0","0","0"
"203","0","0","0"
"210","0","0","0"
"214","0","0","0"
"216","0","0","0"
"284","0","0","0"
"292","0","0","0"
"297","0","0","0"
"306","0","0","0"
"312","0","0","0"
"316","0","0","0"
"324","0","0","0"
"325","0","0","0"
"334","0","0","0"
"335","0","0","0"
"345","0","0","0"
"347","0","0","0"
"361","0","0","0"
"372","0","0","0"
"377","0","0","0"
"386","0","0","0"
"389","0","0","0"
"397","0","0","0"
"403","0","0","0"
"424","0","0","0"
"434","0","0","0"
"454","0","0","0"
"457","0","0","0"
"468","0","0","0"
"483","0","0","0"
"490","0","0","0"
"503","0","0","0"
"514","0","0","0"
"525","0","0","0"
"538","0","0","0"
"540","0","0","0"
"546","0","0","0"
"560","0","0","0"
"572","0","0","0"
"582","0","0","0"
"605","0","0","0"
"621","0","0","0"
"634","0","0","0"
"638","0","0","0"
"663","0","0","0"
"678","0","0","0"
"687","0","0","0"
"689","0","0","0"
"697","0","0","0"
"700","0","0","0"
"709","0","0","0"
"710","0","0","0"
"711","0","0","0"
"712","0","0","0"
"724","0","0","0"
"744","0","0","0"
"751","0","0","0"
"755","0","0","0"
"766","0","0","0"
"788","0","0","0"
"793","0","0","0"
"796","0","0","0"
"800","0","0","0"
"812","0","0","0"
"840","0","0","0"
"841","0","0","0"
"847","0","0","0"
"859","0","0","0"
"861","0","0","0"
"865","0","0","0"
"868","0","0","0"
"873","0","0","0"
