"Step","non_det_DDQN_9_100k - total_reward","non_det_DDQN_9_100k - total_reward__MIN","non_det_DDQN_9_100k - total_reward__MAX"
"10","-1","-1","-1"
"12","-2","-2","-2"
"28","18","18","18"
"34","-2","-2","-2"
"42","-1","-1","-1"
"63","3","3","3"
"65","0","0","0"
"72","6","6","6"
"79","-1","-1","-1"
"87","-2","-2","-2"
"89","-2","-2","-2"
"125","-1","-1","-1"
"127","-1","-1","-1"
"132","-2","-2","-2"
"153","-2","-2","-2"
"174","-1","-1","-1"
"182","-2","-2","-2"
"185","0","0","0"
"188","-2","-2","-2"
"197","-2","-2","-2"
"203","0","0","0"
"209","-2","-2","-2"
"257","1","1","1"
"260","0","0","0"
"270","-2","-2","-2"
"281","-2","-2","-2"
"304","-2","-2","-2"
"307","-2","-2","-2"
"309","-2","-2","-2"
"312","0","0","0"
"313","0","0","0"
"316","-1","-1","-1"
"324","-1","-1","-1"
"326","-1","-1","-1"
"328","5","5","5"
"335","-2","-2","-2"
"377","-2","-2","-2"
"380","2","2","2"
"384","4","4","4"
"398","-2","-2","-2"
"415","1","1","1"
"440","-2","-2","-2"
"446","-2","-2","-2"
"470","-1","-1","-1"
"476","-1","-1","-1"
"478","3","3","3"
"481","-1","-1","-1"
"501","0","0","0"
"514","-1","-1","-1"
"520","0","0","0"
"523","0","0","0"
"525","-1","-1","-1"
"534","-1","-1","-1"
"535","-1","-1","-1"
"537","-2","-2","-2"
"538","1","1","1"
"541","-2","-2","-2"
"562","2","2","2"
"587","-2","-2","-2"
"592","2","2","2"
"600","0","0","0"
"611","-2","-2","-2"
"621","2","2","2"
"626","1","1","1"
"628","0","0","0"
"642","4","4","4"
"643","-2","-2","-2"
"647","-1","-1","-1"
"667","0","0","0"
"669","1","1","1"
"673","-1","-1","-1"
"682","0","0","0"
"690","1","1","1"
"727","-1","-1","-1"
"744","-2","-2","-2"
"746","-2","-2","-2"
"747","-1","-1","-1"
"754","-2","-2","-2"
"774","-2","-2","-2"
"786","-1","-1","-1"
"789","0","0","0"
"800","-1","-1","-1"
"810","-1","-1","-1"
"818","1","1","1"
"819","0","0","0"
"843","-2","-2","-2"
"846","-2","-2","-2"
"853","-1","-1","-1"
"860","-2","-2","-2"
"869","0","0","0"
"925","-1","-1","-1"
"926","-2","-2","-2"
"945","-2","-2","-2"
"953","2","2","2"
"957","-2","-2","-2"
"975","2","2","2"
"977","-1","-1","-1"
"999","-2","-2","-2"
"1004","-1","-1","-1"
"1038","-2","-2","-2"
"1045","-1","-1","-1"
"1048","-2","-2","-2"
"1061","-2","-2","-2"
"1067","-2","-2","-2"
"1070","-2","-2","-2"
"1075","-2","-2","-2"
"1091","-2","-2","-2"
"1092","0","0","0"
"1117","-2","-2","-2"
"1162","-1","-1","-1"
"1166","-2","-2","-2"
"1173","-1","-1","-1"
"1179","0","0","0"
"1180","-1","-1","-1"
"1212","3","3","3"
"1217","-2","-2","-2"
"1233","-1","-1","-1"
"1240","-2","-2","-2"
"1244","-2","-2","-2"
"1245","-2","-2","-2"
"1247","-2","-2","-2"
"1248","3","3","3"
"1262","-2","-2","-2"
"1267","-2","-2","-2"
"1282","-2","-2","-2"
"1283","-2","-2","-2"
"1289","-1","-1","-1"
"1309","-1","-1","-1"
"1318","2","2","2"
"1331","-1","-1","-1"
"1334","-1","-1","-1"
"1335","0","0","0"
"1339","-2","-2","-2"
"1356","3","3","3"
"1357","1","1","1"
"1360","-2","-2","-2"
"1374","-2","-2","-2"
"1405","-1","-1","-1"
"1408","-1","-1","-1"
"1437","-2","-2","-2"
"1447","0","0","0"
"1452","-2","-2","-2"
"1477","-2","-2","-2"
"1484","3","3","3"
"1499","-2","-2","-2"
"1508","-1","-1","-1"
"1513","-2","-2","-2"
"1517","-2","-2","-2"
"1541","-2","-2","-2"
"1566","2","2","2"
"1577","-1","-1","-1"
"1581","-2","-2","-2"
"1588","-2","-2","-2"
"1600","-2","-2","-2"
"1606","-2","-2","-2"
"1615","-1","-1","-1"
"1620","-2","-2","-2"
"1622","-2","-2","-2"
"1635","-2","-2","-2"
"1637","-2","-2","-2"
"1655","0","0","0"
"1683","0","0","0"
"1707","0","0","0"
"1712","0","0","0"
"1713","1","1","1"
"1717","0","0","0"
"1718","-2","-2","-2"
"1721","0","0","0"
"1731","-2","-2","-2"
"1732","-2","-2","-2"
"1734","-2","-2","-2"
"1735","-2","-2","-2"
"1740","2","2","2"
"1744","2","2","2"
"1746","-2","-2","-2"
"1752","-2","-2","-2"
"1756","-1","-1","-1"
"1788","2","2","2"
"1793","-2","-2","-2"
"1802","-2","-2","-2"
"1821","-1","-1","-1"
"1831","-2","-2","-2"
"1834","-2","-2","-2"
"1837","-1","-1","-1"
"1894","0","0","0"
"1920","0","0","0"
"1926","0","0","0"
"1930","1","1","1"
"1937","-2","-2","-2"
"1938","2","2","2"
"1941","-1","-1","-1"
"1956","-2","-2","-2"
"1973","-2","-2","-2"
"1977","0","0","0"
"1984","-2","-2","-2"
"1996","0","0","0"
"1997","-2","-2","-2"
"2050","1","1","1"
"2051","-1","-1","-1"
"2052","-2","-2","-2"
"2054","1","1","1"
"2057","-2","-2","-2"
"2063","0","0","0"
"2068","-2","-2","-2"
"2079","-1","-1","-1"
"2081","0","0","0"
"2118","-2","-2","-2"
"2125","-2","-2","-2"
"2128","0","0","0"
"2138","-2","-2","-2"
"2139","-2","-2","-2"
"2154","-2","-2","-2"
"2160","-1","-1","-1"
"2167","0","0","0"
"2204","-2","-2","-2"
"2205","-1","-1","-1"
"2218","1","1","1"
"2227","-2","-2","-2"
"2228","3","3","3"
"2245","-1","-1","-1"
"2265","1","1","1"
"2270","-2","-2","-2"
"2271","-1","-1","-1"
"2280","-1","-1","-1"
"2285","-2","-2","-2"
"2289","-1","-1","-1"
"2298","1","1","1"
"2307","-1","-1","-1"
"2311","-1","-1","-1"
"2313","0","0","0"
"2343","1","1","1"
"2370","-2","-2","-2"
"2372","-2","-2","-2"
"2376","-2","-2","-2"
"2381","-1","-1","-1"
"2383","-2","-2","-2"
"2397","-1","-1","-1"
"2404","6","6","6"
"2406","0","0","0"
"2420","-2","-2","-2"
"2441","-2","-2","-2"
"2449","1","1","1"
"2470","-2","-2","-2"
"2488","-2","-2","-2"
"2503","-2","-2","-2"
"2513","-1","-1","-1"
"2519","-2","-2","-2"
"2541","-2","-2","-2"
"2544","-1","-1","-1"
"2553","-1","-1","-1"
"2564","-2","-2","-2"
"2571","2","2","2"
"2578","-1","-1","-1"
"2583","-2","-2","-2"
"2593","-2","-2","-2"
"2601","2","2","2"
"2609","0","0","0"
"2610","-2","-2","-2"
"2616","-2","-2","-2"
"2619","-2","-2","-2"
"2660","-2","-2","-2"
"2666","-1","-1","-1"
"2678","-1","-1","-1"
"2691","0","0","0"
"2698","-2","-2","-2"
"2700","-1","-1","-1"
"2702","-2","-2","-2"
"2722","0","0","0"
"2737","1","1","1"
"2750","2","2","2"
"2753","0","0","0"
"2759","4","4","4"
"2784","-2","-2","-2"
"2788","-2","-2","-2"
"2792","-1","-1","-1"
"2795","-2","-2","-2"
"2800","1","1","1"
"2804","5","5","5"
"2818","-2","-2","-2"
"2835","-2","-2","-2"
"2872","-1","-1","-1"
"2887","-1","-1","-1"
"2890","-2","-2","-2"
"2891","0","0","0"
"2894","-2","-2","-2"
"2907","-1","-1","-1"
"2913","-2","-2","-2"
"2926","-1","-1","-1"
"2960","-1","-1","-1"
"2966","4","4","4"
"2980","1","1","1"
"2995","-2","-2","-2"
"3010","-2","-2","-2"
"3031","-1","-1","-1"
"3032","-2","-2","-2"
"3035","0","0","0"
"3042","-1","-1","-1"
"3044","-2","-2","-2"
"3046","-2","-2","-2"
"3051","-1","-1","-1"
"3076","-2","-2","-2"
"3104","-2","-2","-2"
"3119","-2","-2","-2"
"3137","-1","-1","-1"
"3144","-2","-2","-2"
"3164","3","3","3"
"3168","-1","-1","-1"
"3177","0","0","0"
"3179","1","1","1"
"3207","-1","-1","-1"
"3221","-2","-2","-2"
"3224","1","1","1"
"3225","-2","-2","-2"
"3247","-2","-2","-2"
"3248","-1","-1","-1"
"3258","-2","-2","-2"
"3267","-2","-2","-2"
"3285","-1","-1","-1"
"3287","-2","-2","-2"
"3303","2","2","2"
"3310","-1","-1","-1"
"3326","3","3","3"
"3342","-2","-2","-2"
"3352","-2","-2","-2"
"3363","-2","-2","-2"
"3368","-2","-2","-2"
"3369","-1","-1","-1"
"3386","2","2","2"
"3398","0","0","0"
"3415","-2","-2","-2"
"3427","-2","-2","-2"
"3428","-2","-2","-2"
"3456","-2","-2","-2"
"3470","-2","-2","-2"
"3474","-2","-2","-2"
"3476","0","0","0"
"3477","1","1","1"
"3489","-2","-2","-2"
"3509","5","5","5"
"3533","-2","-2","-2"
"3539","0","0","0"
"3547","-2","-2","-2"
"3551","-1","-1","-1"
"3557","-1","-1","-1"
"3560","-1","-1","-1"
"3562","4","4","4"
"3571","1","1","1"
"3574","-2","-2","-2"
"3587","-1","-1","-1"
"3596","-2","-2","-2"
"3600","2","2","2"
"3602","-1","-1","-1"
"3606","-2","-2","-2"
"3642","16","16","16"
"3643","0","0","0"
"3647","-2","-2","-2"
"3648","-2","-2","-2"
"3650","0","0","0"
"3653","-2","-2","-2"
"3665","-2","-2","-2"
"3669","-2","-2","-2"
"3679","-2","-2","-2"
"3687","1","1","1"
"3694","0","0","0"
"3709","-1","-1","-1"
"3710","-1","-1","-1"
"3713","-2","-2","-2"
"3717","5","5","5"
"3733","2","2","2"
"3745","2","2","2"
"3747","-2","-2","-2"
"3754","-2","-2","-2"
"3764","-2","-2","-2"
"3774","-2","-2","-2"
"3806","6","6","6"
"3811","-2","-2","-2"
"3814","4","4","4"
"3819","-2","-2","-2"
"3828","1","1","1"
"3844","-2","-2","-2"
"3848","-2","-2","-2"
"3858","-2","-2","-2"
"3859","-2","-2","-2"
"3860","-2","-2","-2"
"3878","6","6","6"
"3887","-2","-2","-2"
"3888","-2","-2","-2"
"3902","-2","-2","-2"
"3922","0","0","0"
"3925","-1","-1","-1"
"3937","-2","-2","-2"
"3940","0","0","0"
"3941","-2","-2","-2"
"3944","-1","-1","-1"
"3946","2","2","2"
"3956","-1","-1","-1"
"3973","-1","-1","-1"
"3986","2","2","2"
"3988","15","15","15"
"4015","-1","-1","-1"
"4039","3","3","3"
"4064","-2","-2","-2"
"4066","0","0","0"
"4070","-2","-2","-2"
"4086","2","2","2"
"4099","-2","-2","-2"
"4102","-2","-2","-2"
"4107","-1","-1","-1"
"4112","-1","-1","-1"
"4121","0","0","0"
"4130","0","0","0"
"4143","-2","-2","-2"
"4172","-2","-2","-2"
"4181","-2","-2","-2"
"4186","3","3","3"
"4202","-2","-2","-2"
"4207","2","2","2"
"4208","-2","-2","-2"
"4215","-2","-2","-2"
"4224","-1","-1","-1"
"4246","1","1","1"
"4261","2","2","2"
"4273","0","0","0"
"4283","-1","-1","-1"
"4289","1","1","1"
"4297","-2","-2","-2"
"4299","-1","-1","-1"
"4304","-2","-2","-2"
"4309","-2","-2","-2"
"4344","-2","-2","-2"
"4360","1","1","1"
"4361","-2","-2","-2"
"4377","0","0","0"
"4379","-1","-1","-1"
"4391","3","3","3"
"4392","-1","-1","-1"
"4400","-2","-2","-2"
"4401","4","4","4"
"4408","-2","-2","-2"
"4411","-1","-1","-1"
"4414","-2","-2","-2"
"4425","-2","-2","-2"
"4436","0","0","0"
"4438","1","1","1"
"4452","0","0","0"
"4457","-2","-2","-2"
"4488","0","0","0"
"4497","-2","-2","-2"
"4509","-2","-2","-2"
"4510","1","1","1"
"4517","-1","-1","-1"
"4521","0","0","0"
"4529","-1","-1","-1"
