"Step","non_det_DDQN_9_100k - win","non_det_DDQN_9_100k - win__MIN","non_det_DDQN_9_100k - win__MAX"
"17","0","0","0"
"21","0","0","0"
"25","0","0","0"
"37","0","0","0"
"42","0","0","0"
"48","0","0","0"
"50","0","0","0"
"56","0","0","0"
"58","0","0","0"
"61","0","0","0"
"71","0","0","0"
"89","0","0","0"
"100","0","0","0"
"101","0","0","0"
"102","0","0","0"
"120","0","0","0"
"131","0","0","0"
"138","0","0","0"
"147","0","0","0"
"149","0","0","0"
"150","0","0","0"
"152","0","0","0"
"162","0","0","0"
"168","0","0","0"
"174","0","0","0"
"177","0","0","0"
"184","0","0","0"
"205","0","0","0"
"210","0","0","0"
"219","0","0","0"
"233","0","0","0"
"234","0","0","0"
"237","0","0","0"
"239","0","0","0"
"240","0","0","0"
"250","0","0","0"
"251","0","0","0"
"260","0","0","0"
"264","0","0","0"
"269","0","0","0"
"283","0","0","0"
"287","0","0","0"
"308","0","0","0"
"315","0","0","0"
"328","0","0","0"
"331","0","0","0"
"335","0","0","0"
"336","0","0","0"
"355","0","0","0"
"356","0","0","0"
"361","0","0","0"
"364","0","0","0"
"369","0","0","0"
"370","0","0","0"
"380","0","0","0"
"396","0","0","0"
"399","0","0","0"
"402","0","0","0"
"421","0","0","0"
"437","0","0","0"
"462","0","0","0"
"465","0","0","0"
"482","0","0","0"
"486","0","0","0"
"498","0","0","0"
"499","0","0","0"
"508","0","0","0"
"554","0","0","0"
"558","0","0","0"
"570","0","0","0"
"580","0","0","0"
"591","0","0","0"
"593","0","0","0"
"600","0","0","0"
"601","0","0","0"
"603","0","0","0"
"620","0","0","0"
"626","0","0","0"
"647","0","0","0"
"651","0","0","0"
"655","0","0","0"
"656","0","0","0"
"661","0","0","0"
"665","0","0","0"
"688","0","0","0"
"693","0","0","0"
"727","0","0","0"
"734","0","0","0"
"746","0","0","0"
"748","0","0","0"
"765","0","0","0"
"773","0","0","0"
"779","0","0","0"
"781","0","0","0"
"784","0","0","0"
"808","1","1","1"
"813","0","0","0"
"832","0","0","0"
"846","0","0","0"
"855","0","0","0"
"868","0","0","0"
"869","0","0","0"
"873","0","0","0"
"876","0","0","0"
"877","0","0","0"
"886","0","0","0"
"888","0","0","0"
"904","0","0","0"
"923","0","0","0"
"930","0","0","0"
"942","0","0","0"
"953","0","0","0"
"958","0","0","0"
"968","0","0","0"
"979","0","0","0"
"981","1","1","1"
"982","0","0","0"
"988","0","0","0"
"1000","0","0","0"
"1014","0","0","0"
"1029","0","0","0"
"1035","0","0","0"
"1045","0","0","0"
"1067","0","0","0"
"1072","0","0","0"
"1081","0","0","0"
"1092","0","0","0"
"1109","0","0","0"
"1120","0","0","0"
"1131","0","0","0"
"1135","0","0","0"
"1138","0","0","0"
"1147","0","0","0"
"1149","0","0","0"
"1169","0","0","0"
"1170","0","0","0"
"1174","0","0","0"
"1178","0","0","0"
"1185","0","0","0"
"1187","0","0","0"
"1191","0","0","0"
"1213","0","0","0"
"1214","0","0","0"
"1225","0","0","0"
"1234","0","0","0"
"1239","0","0","0"
"1244","0","0","0"
"1261","0","0","0"
"1262","0","0","0"
"1267","0","0","0"
"1270","0","0","0"
"1272","0","0","0"
"1280","0","0","0"
"1284","0","0","0"
"1307","0","0","0"
"1310","0","0","0"
"1313","0","0","0"
"1317","0","0","0"
"1321","0","0","0"
"1333","0","0","0"
