"Step","DQN_good_disc - total_reward","non_Det_DQN_discounted_run_1747653690 - total_reward__MIN","non_Det_DQN_discounted_run_1747653690 - total_reward__MAX"
"0","-1","-1","-1"
"2","-1","-1","-1"
"7","1","1","1"
"8","0","0","0"
"9","-2","-2","-2"
"18","3","3","3"
"27","-2","-2","-2"
"33","-1","-1","-1"
"34","-2","-2","-2"
"40","-2","-2","-2"
"47","-1","-1","-1"
"51","-2","-2","-2"
"57","-1","-1","-1"
"62","5","5","5"
"63","0","0","0"
"66","-1","-1","-1"
"68","-2","-2","-2"
"72","2","2","2"
"73","-2","-2","-2"
"76","-2","-2","-2"
"80","1","1","1"
"95","-1","-1","-1"
"102","-1","-1","-1"
"106","-2","-2","-2"
"120","-2","-2","-2"
"126","0","0","0"
"129","0","0","0"
"134","-1","-1","-1"
"141","-1","-1","-1"
"143","-1","-1","-1"
"147","-2","-2","-2"
"150","0","0","0"
"154","-2","-2","-2"
"155","1","1","1"
"156","-2","-2","-2"
"158","-1","-1","-1"
"161","-1","-1","-1"
"162","2","2","2"
"166","-2","-2","-2"
"187","-2","-2","-2"
"188","-1","-1","-1"
"191","-1","-1","-1"
"192","-2","-2","-2"
"195","3","3","3"
"196","0","0","0"
"203","0","0","0"
"205","4","4","4"
"212","-1","-1","-1"
"216","-2","-2","-2"
"221","-1","-1","-1"
"226","-2","-2","-2"
"229","-1","-1","-1"
"237","-1","-1","-1"
"245","-2","-2","-2"
"256","-1","-1","-1"
"260","-1","-1","-1"
"269","-1","-1","-1"
"271","2","2","2"
"272","0","0","0"
"277","-2","-2","-2"
"280","-2","-2","-2"
"282","-2","-2","-2"
"284","1","1","1"
"285","3","3","3"
"293","-2","-2","-2"
"297","-2","-2","-2"
"299","-2","-2","-2"
"307","0","0","0"
"313","-1","-1","-1"
"314","0","0","0"
"316","-1","-1","-1"
"326","0","0","0"
"329","-2","-2","-2"
"334","-1","-1","-1"
"336","-2","-2","-2"
"339","-2","-2","-2"
"360","0","0","0"
"367","-1","-1","-1"
"373","2","2","2"
"376","-1","-1","-1"
"381","-1","-1","-1"
"382","-2","-2","-2"
"390","0","0","0"
"392","0","0","0"
"400","-2","-2","-2"
"407","-2","-2","-2"
"408","-1","-1","-1"
"420","1","1","1"
"421","-1","-1","-1"
"422","-2","-2","-2"
"429","0","0","0"
"432","-2","-2","-2"
"442","0","0","0"
"466","1","1","1"
"473","-2","-2","-2"
"474","1","1","1"
"477","-2","-2","-2"
"479","1","1","1"
"487","-2","-2","-2"
"503","-1","-1","-1"
"507","-2","-2","-2"
"509","-2","-2","-2"
"510","-1","-1","-1"
"511","-2","-2","-2"
"514","-2","-2","-2"
"515","-1","-1","-1"
"520","-2","-2","-2"
"526","4","4","4"
"527","-2","-2","-2"
"528","0","0","0"
"534","-2","-2","-2"
"538","-2","-2","-2"
"547","0","0","0"
"551","-2","-2","-2"
"554","-2","-2","-2"
"558","-2","-2","-2"
"565","-1","-1","-1"
"572","1","1","1"
"575","0","0","0"
"577","-2","-2","-2"
"582","0","0","0"
"583","-2","-2","-2"
"586","0","0","0"
"597","0","0","0"
"598","-2","-2","-2"
"601","-2","-2","-2"
"602","-2","-2","-2"
"607","-2","-2","-2"
"611","-1","-1","-1"
"615","-2","-2","-2"
"620","-2","-2","-2"
"623","-2","-2","-2"
"631","-2","-2","-2"
"633","4","4","4"
"635","-1","-1","-1"
"643","5","5","5"
"646","-2","-2","-2"
"650","-2","-2","-2"
"665","-2","-2","-2"
"671","-2","-2","-2"
"675","-2","-2","-2"
"693","-2","-2","-2"
"694","17","17","17"
"701","-2","-2","-2"
"705","-2","-2","-2"
"706","-2","-2","-2"
"716","1","1","1"
"721","-2","-2","-2"
"728","-2","-2","-2"
"736","-2","-2","-2"
"742","-1","-1","-1"
"753","2","2","2"
"755","1","1","1"
"759","-2","-2","-2"
"761","-1","-1","-1"
"775","-2","-2","-2"
"782","-2","-2","-2"
"784","-2","-2","-2"
"789","3","3","3"
"790","0","0","0"
"794","-2","-2","-2"
"798","-2","-2","-2"
"801","-2","-2","-2"
"804","-2","-2","-2"
"806","4","4","4"
"808","2","2","2"
"818","1","1","1"
"820","4","4","4"
"825","-1","-1","-1"
"826","-2","-2","-2"
"827","3","3","3"
"832","1","1","1"
"841","4","4","4"
"853","-2","-2","-2"
"854","-2","-2","-2"
"856","-2","-2","-2"
"859","-2","-2","-2"
"861","0","0","0"
"865","-1","-1","-1"
"871","-2","-2","-2"
"873","-2","-2","-2"
"876","-1","-1","-1"
