"Step","DQN_good_disc - win","non_Det_DQN_discounted_run_1747653690 - win__MIN","non_Det_DQN_discounted_run_1747653690 - win__MAX"
"5","0","0","0"
"6","0","0","0"
"12","0","0","0"
"13","0","0","0"
"19","0","0","0"
"26","0","0","0"
"27","0","0","0"
"48","0","0","0"
"49","0","0","0"
"57","0","0","0"
"60","0","0","0"
"71","0","0","0"
"75","0","0","0"
"81","0","0","0"
"87","0","0","0"
"89","0","0","0"
"92","1","1","1"
"95","0","0","0"
"97","0","0","0"
"100","0","0","0"
"102","0","0","0"
"105","0","0","0"
"114","0","0","0"
"116","0","0","0"
"129","0","0","0"
"137","0","0","0"
"146","0","0","0"
"159","0","0","0"
"161","0","0","0"
"163","0","0","0"
"168","0","0","0"
"171","0","0","0"
"185","0","0","0"
"186","0","0","0"
"193","0","0","0"
"197","0","0","0"
"203","0","0","0"
"204","0","0","0"
"205","0","0","0"
"206","0","0","0"
"209","0","0","0"
"213","0","0","0"
"215","0","0","0"
"226","0","0","0"
"227","0","0","0"
"229","0","0","0"
"231","0","0","0"
"235","0","0","0"
"236","0","0","0"
"237","0","0","0"
"239","0","0","0"
"241","0","0","0"
"248","0","0","0"
"263","0","0","0"
"271","0","0","0"
"276","0","0","0"
"280","0","0","0"
"285","0","0","0"
"292","0","0","0"
"298","0","0","0"
"299","0","0","0"
"304","0","0","0"
"308","0","0","0"
"309","0","0","0"
"313","0","0","0"
"317","0","0","0"
"321","0","0","0"
"331","0","0","0"
"332","0","0","0"
"337","0","0","0"
"340","0","0","0"
"353","0","0","0"
"356","0","0","0"
"358","0","0","0"
"359","0","0","0"
"367","0","0","0"
"368","0","0","0"
"369","0","0","0"
"371","0","0","0"
"372","0","0","0"
"386","0","0","0"
"394","0","0","0"
"397","0","0","0"
"401","0","0","0"
"402","0","0","0"
"403","0","0","0"
"410","0","0","0"
"417","0","0","0"
"420","0","0","0"
"424","0","0","0"
"425","0","0","0"
"429","0","0","0"
"432","0","0","0"
"438","0","0","0"
"441","0","0","0"
"443","0","0","0"
"455","0","0","0"
"457","0","0","0"
"465","0","0","0"
"470","0","0","0"
"475","0","0","0"
"476","0","0","0"
"478","0","0","0"
"479","0","0","0"
"483","0","0","0"
"493","0","0","0"
"494","0","0","0"
"497","0","0","0"
"499","0","0","0"
"508","0","0","0"
"510","0","0","0"
"520","0","0","0"
"521","0","0","0"
"529","0","0","0"
"536","0","0","0"
"542","0","0","0"
"547","0","0","0"
"562","0","0","0"
"567","0","0","0"
"569","0","0","0"
"570","0","0","0"
"573","0","0","0"
"575","0","0","0"
"585","0","0","0"
"592","0","0","0"
"593","0","0","0"
"597","0","0","0"
"602","0","0","0"
"604","0","0","0"
"608","0","0","0"
"609","0","0","0"
"617","0","0","0"
"631","0","0","0"
"639","0","0","0"
"642","0","0","0"
"656","0","0","0"
"661","0","0","0"
"666","0","0","0"
"671","0","0","0"
"672","0","0","0"
"678","0","0","0"
"689","0","0","0"
"692","0","0","0"
"709","0","0","0"
"713","0","0","0"
"718","0","0","0"
"722","0","0","0"
"723","0","0","0"
"724","0","0","0"
"730","1","1","1"
"731","0","0","0"
"743","0","0","0"
"749","0","0","0"
"756","0","0","0"
"770","0","0","0"
"774","0","0","0"
"781","0","0","0"
"794","0","0","0"
"810","0","0","0"
"817","0","0","0"
"823","0","0","0"
"829","0","0","0"
"838","0","0","0"
"839","0","0","0"
"845","0","0","0"
"851","0","0","0"
"855","0","0","0"
"858","0","0","0"
"875","0","0","0"
"877","0","0","0"
"878","0","0","0"
"885","0","0","0"
"887","0","0","0"
"888","0","0","0"
"897","0","0","0"
"898","0","0","0"
"899","0","0","0"
"900","0","0","0"
"903","0","0","0"
"907","0","0","0"
"908","0","0","0"
"909","0","0","0"
"912","0","0","0"
"915","0","0","0"
"916","0","0","0"
"921","0","0","0"
"923","0","0","0"
"924","0","0","0"
"925","0","0","0"
"928","0","0","0"
"932","0","0","0"
"959","0","0","0"
"962","0","0","0"
"965","0","0","0"
"981","0","0","0"
"988","0","0","0"
"991","0","0","0"
"995","0","0","0"
"996","0","0","0"
"1004","0","0","0"
"1006","0","0","0"
"1008","0","0","0"
"1014","0","0","0"
"1017","0","0","0"
"1019","0","0","0"
"1027","0","0","0"
"1029","0","0","0"
"1031","0","0","0"
"1032","0","0","0"
"1045","0","0","0"
"1046","0","0","0"
"1048","0","0","0"
"1049","0","0","0"
"1052","0","0","0"
"1069","0","0","0"
"1070","0","0","0"
"1073","0","0","0"
"1081","0","0","0"
"1083","0","0","0"
"1100","0","0","0"
"1102","0","0","0"
"1107","0","0","0"
"1115","0","0","0"
"1116","0","0","0"
"1117","0","0","0"
"1127","0","0","0"
"1129","0","0","0"
"1131","0","0","0"
"1134","0","0","0"
"1142","0","0","0"
"1159","0","0","0"
"1162","0","0","0"
"1170","0","0","0"
"1172","0","0","0"
"1177","0","0","0"
"1180","0","0","0"
"1187","0","0","0"
"1189","0","0","0"
"1191","0","0","0"
"1192","0","0","0"
"1197","0","0","0"
"1205","0","0","0"
"1207","0","0","0"
"1208","0","0","0"
"1209","0","0","0"
"1217","0","0","0"
"1218","0","0","0"
"1231","0","0","0"
"1235","0","0","0"
"1238","0","0","0"
"1239","0","0","0"
"1246","0","0","0"
"1248","0","0","0"
"1255","0","0","0"
"1270","0","0","0"
"1277","0","0","0"
"1286","0","0","0"
"1290","0","0","0"
"1297","0","0","0"
"1312","0","0","0"
"1313","0","0","0"
"1314","0","0","0"
"1315","0","0","0"
"1318","0","0","0"
"1320","0","0","0"
"1322","0","0","0"
"1355","0","0","0"
"1357","0","0","0"
"1358","0","0","0"
"1359","0","0","0"
"1361","0","0","0"
"1364","0","0","0"
"1367","0","0","0"
"1374","0","0","0"
"1375","0","0","0"
"1377","0","0","0"
"1385","0","0","0"
"1386","0","0","0"
"1387","0","0","0"
"1398","0","0","0"
"1400","0","0","0"
"1415","0","0","0"
"1420","0","0","0"
"1429","0","0","0"
"1433","0","0","0"
"1446","0","0","0"
